ENSSTOP00000006185 ENSSTOP00000023869
ENSSTOP00000006185 ENSSTOP00000001402
ENSSTOP00000006185 ENSSTOP00000008053
ENSSTOP00000006185 ENSSTOP00000015577
ENSSTOP00000006185 ENSSTOP00000022793
ENSSTOP00000006185 ENSSTOP00000020448
ENSSTOP00000006185 ENSSTOP00000022789
ENSSTOP00000006185 ENSSTOP00000019048
ENSSTOP00000006185 ENSSTOP00000017575
ENSSTOP00000006185 ENSSTOP00000019111
ENSSTOP00000006185 ENSSTOP00000016128
ENSSTOP00000006185 ENSSTOP00000022003
ENSSTOP00000006185 ENSSTOP00000006073
ENSSTOP00000006185 ENSSTOP00000005301
ENSSTOP00000006185 ENSSTOP00000015878
ENSSTOP00000006185 ENSSTOP00000015707
ENSSTOP00000006185 ENSSTOP00000009472
ENSSTOP00000006225 ENSSTOP00000013972
ENSSTOP00000006373 ENSSTOP00000019463
ENSSTOP00000006373 ENSSTOP00000004191
ENSSTOP00000006373 ENSSTOP00000023556
ENSSTOP00000006428 ENSSTOP00000022842
ENSSTOP00000006492 ENSSTOP00000008133
ENSSTOP00000006492 ENSSTOP00000003380
ENSSTOP00000006615 ENSSTOP00000006997
ENSSTOP00000006615 ENSSTOP00000023466
ENSSTOP00000006615 ENSSTOP00000020533
ENSSTOP00000006801 ENSSTOP00000020247
ENSSTOP00000006997 ENSSTOP00000023466
ENSSTOP00000006997 ENSSTOP00000020533
ENSSTOP00000006997 ENSSTOP00000006615
ENSSTOP00000007045 ENSSTOP00000019463
ENSSTOP00000007045 ENSSTOP00000004191
ENSSTOP00000007150 ENSSTOP00000005382
ENSSTOP00000007680 ENSSTOP00000014633
ENSSTOP00000007680 ENSSTOP00000023145
ENSSTOP00000007680 ENSSTOP00000012851
ENSSTOP00000007747 ENSSTOP00000022461
ENSSTOP00000007747 ENSSTOP00000023801
ENSSTOP00000007747 ENSSTOP00000006106
ENSSTOP00000007747 ENSSTOP00000022341
ENSSTOP00000007747 ENSSTOP00000012355
ENSSTOP00000007747 ENSSTOP00000002389
ENSSTOP00000008004 ENSSTOP00000022466
ENSSTOP00000008004 ENSSTOP00000014633
ENSSTOP00000008004 ENSSTOP00000000405
ENSSTOP00000008004 ENSSTOP00000012851
ENSSTOP00000008004 ENSSTOP00000023145
ENSSTOP00000008014 ENSSTOP00000010068
ENSSTOP00000008014 ENSSTOP00000011947
ENSSTOP00000008014 ENSSTOP00000012983
ENSSTOP00000008014 ENSSTOP00000009511
ENSSTOP00000008014 ENSSTOP00000008694
ENSSTOP00000008053 ENSSTOP00000002981
ENSSTOP00000008053 ENSSTOP00000005613
ENSSTOP00000008053 ENSSTOP00000023869
ENSSTOP00000008053 ENSSTOP00000001402
ENSSTOP00000008053 ENSSTOP00000015577
ENSSTOP00000008053 ENSSTOP00000020448
ENSSTOP00000008053 ENSSTOP00000022789
ENSSTOP00000008053 ENSSTOP00000019048
ENSSTOP00000008053 ENSSTOP00000022793
ENSSTOP00000008053 ENSSTOP00000017575
ENSSTOP00000008053 ENSSTOP00000019111
ENSSTOP00000008053 ENSSTOP00000016128
ENSSTOP00000008053 ENSSTOP00000022003
ENSSTOP00000008053 ENSSTOP00000006073
ENSSTOP00000008053 ENSSTOP00000006185
ENSSTOP00000008053 ENSSTOP00000005301
ENSSTOP00000008053 ENSSTOP00000015878
ENSSTOP00000008053 ENSSTOP00000015707
ENSSTOP00000008053 ENSSTOP00000009472
ENSSTOP00000008133 ENSSTOP00000006492
ENSSTOP00000008133 ENSSTOP00000003380
ENSSTOP00000008280 ENSSTOP00000000762
ENSSTOP00000008326 ENSSTOP00000003222
ENSSTOP00000008431 ENSSTOP00000005695
ENSSTOP00000008431 ENSSTOP00000002554
ENSSTOP00000008431 ENSSTOP00000022331
ENSSTOP00000008551 ENSSTOP00000015789
ENSSTOP00000008580 ENSSTOP00000004191
ENSSTOP00000008580 ENSSTOP00000019463
