GFO_0276 GFO_3345
GFO_0276 GFO_0383
GFO_0276 GFO_0974
GFO_0276 GFO_2169
GFO_0276 GFO_0598
GFO_0276 GFO_3344
GFO_0276 GFO_1659
GFO_0276 GFO_3383
GFO_0276 GFO_2876
GFO_0276 GFO_3343
GFO_0276 GFO_1660
GFO_0276 GFO_2339
GFO_0279 GFO_2899
GFO_0279 GFO_1444
GFO_0279 GFO_0482
GFO_0279 GFO_3381
GFO_0279 GFO_2957
GFO_0279 GFO_1498
GFO_0279 GFO_2262
GFO_0279 GFO_2018
GFO_0279 GFO_0288
GFO_0279 GFO_0332
GFO_0279 GFO_0333
GFO_0288 GFO_1282
GFO_0288 GFO_0764
GFO_0288 GFO_0643
GFO_0288 GFO_1276
GFO_0288 GFO_0279
GFO_0288 GFO_0334
GFO_0288 GFO_3484
GFO_0288 GFO_2795
GFO_0288 GFO_1498
GFO_0288 GFO_2262
GFO_0288 GFO_0644
GFO_0288 GFO_3262
GFO_0288 GFO_2964
GFO_0288 GFO_2899
GFO_0288 GFO_3354
GFO_0288 GFO_1279
GFO_0293 GFO_0961
GFO_0293 GFO_0190
GFO_0293 GFO_0962
GFO_0294 GFO_1202
GFO_0294 GFO_1907
GFO_0294 GFO_2889
GFO_0294 GFO_1680
GFO_0294 GFO_2111
GFO_0294 GFO_2678
GFO_0294 GFO_0105
GFO_0294 GFO_0179
GFO_0294 GFO_0594
GFO_0294 GFO_0704
GFO_0294 GFO_2112
GFO_0294 GFO_2097
GFO_0294 GFO_1415
GFO_0294 GFO_1162
GFO_0294 GFO_1865
GFO_0294 GFO_0595
GFO_0294 GFO_2165
GFO_0294 GFO_1681
GFO_0294 GFO_1707
GFO_0294 GFO_1679
GFO_0294 GFO_0735
GFO_0294 GFO_2258
GFO_0294 GFO_3000
GFO_0294 GFO_0702
GFO_0294 GFO_0814
GFO_0294 GFO_2888
GFO_0294 GFO_3386
GFO_0294 GFO_0384
GFO_0294 GFO_0703
GFO_0294 GFO_2095
GFO_0294 GFO_2096
GFO_0294 GFO_3166
GFO_0296 GFO_0297
GFO_0296 GFO_1833
GFO_0296 GFO_3268
GFO_0296 GFO_3548
GFO_0296 GFO_3265
GFO_0296 GFO_3270
GFO_0296 GFO_3549
GFO_0296 GFO_3267
GFO_0296 GFO_3266
GFO_0296 GFO_3269
GFO_0296 GFO_1621
GFO_0296 GFO_2762
GFO_0297 GFO_3549
GFO_0297 GFO_1833
GFO_0297 GFO_3269
GFO_0297 GFO_3266
GFO_0297 GFO_1621
GFO_0297 GFO_3270
GFO_0297 GFO_0296
GFO_0297 GFO_2762
GFO_0297 GFO_3268
GFO_0297 GFO_3548
GFO_0297 GFO_3265
GFO_0297 GFO_3267
GFO_0309 GFO_1799
GFO_0309 GFO_1968
GFO_0309 GFO_0499
GFO_0309 GFO_3443
GFO_0309 GFO_2111
GFO_0309 GFO_3067
GFO_0309 GFO_0319
GFO_0309 GFO_0587
GFO_0309 GFO_2112
GFO_0309 GFO_2109
GFO_0309 GFO_2262
GFO_0309 GFO_0312
