XP_002614313.1 XP_002618679.1
XP_002614313.1 XP_002617934.1
XP_002614313.1 XP_002619074.1
XP_002614313.1 XP_002616779.1
XP_002614313.1 XP_002618739.1
XP_002614313.1 XP_002615223.1
XP_002614313.1 XP_002614976.1
XP_002614313.1 XP_002619612.1
XP_002614313.1 XP_002618635.1
XP_002614313.1 XP_002617748.1
XP_002614313.1 XP_002615655.1
XP_002614313.1 XP_002617933.1
XP_002614313.1 XP_002617822.1
XP_002614313.1 XP_002615864.1
XP_002614318.1 XP_002615574.1
XP_002614321.1 XP_002615484.1
XP_002614321.1 XP_002614705.1
XP_002614321.1 XP_002618508.1
XP_002614321.1 XP_002618992.1
XP_002614321.1 XP_002616010.1
XP_002614321.1 XP_002617216.1
XP_002614321.1 XP_002619347.1
XP_002614321.1 XP_002619858.1
XP_002614321.1 XP_002618213.1
XP_002614321.1 XP_002619075.1
XP_002614321.1 XP_002617543.1
XP_002614321.1 XP_002614508.1
XP_002614321.1 XP_002617104.1
XP_002614321.1 XP_002616434.1
XP_002614321.1 XP_002616200.1
XP_002614321.1 XP_002617098.1
XP_002614323.1 XP_002615931.1
XP_002614329.1 XP_002618448.1
XP_002614329.1 XP_002618342.1
XP_002614329.1 XP_002619891.1
XP_002614329.1 XP_002618421.1
XP_002614329.1 XP_002619971.1
XP_002614329.1 XP_002618992.1
XP_002614329.1 XP_002616379.1
XP_002614329.1 XP_002619294.1
XP_002614330.1 XP_002618164.1
XP_002614330.1 XP_002619294.1
XP_002614330.1 XP_002618588.1
XP_002614330.1 XP_002615550.1
XP_002614337.1 XP_002619399.1
XP_002614337.1 XP_002619629.1
XP_002614342.1 XP_002619017.1
XP_002614344.1 XP_002614295.1
XP_002614344.1 XP_002618151.1
XP_002614344.1 XP_002618392.1
XP_002614344.1 XP_002617873.1
XP_002614344.1 XP_002618235.1
XP_002614344.1 XP_002615273.1
XP_002614366.1 XP_002619009.1
XP_002614368.1 XP_002619605.1
XP_002614368.1 XP_002619594.1
XP_002614370.1 XP_002616451.1
XP_002614370.1 XP_002617715.1
XP_002614370.1 XP_002617150.1
XP_002614370.1 XP_002618614.1
XP_002614370.1 XP_002616597.1
XP_002614370.1 XP_002615198.1
XP_002614370.1 XP_002618615.1
XP_002614370.1 XP_002617643.1
XP_002614370.1 XP_002617429.1
XP_002614377.1 XP_002615330.1
XP_002614377.1 XP_002618540.1
XP_002614377.1 XP_002619508.1
XP_002614377.1 XP_002615827.1
XP_002614377.1 XP_002617982.1
XP_002614377.1 XP_002616595.1
XP_002614379.1 XP_002617248.1
XP_002614379.1 XP_002616039.1
XP_002614379.1 XP_002615566.1
XP_002614379.1 XP_002614779.1
XP_002614379.1 XP_002617319.1
XP_002614379.1 XP_002615062.1
XP_002614379.1 XP_002619988.1
XP_002614379.1 XP_002615937.1
XP_002614379.1 XP_002618161.1
XP_002614379.1 XP_002615868.1
XP_002614379.1 XP_002619891.1
XP_002614379.1 XP_002614654.1
XP_002614379.1 XP_002615165.1
XP_002614379.1 XP_002615255.1
XP_002614379.1 XP_002616530.1
XP_002614379.1 XP_002616379.1
XP_002614379.1 XP_002616463.1
XP_002614379.1 XP_002616562.1
XP_002614379.1 XP_002619739.1
XP_002614379.1 XP_002617079.1
XP_002614379.1 XP_002614389.1
XP_002614379.1 XP_002618955.1
XP_002614379.1 XP_002617774.1
XP_002614379.1 XP_002614560.1
XP_002614379.1 XP_002616248.1
XP_002614379.1 XP_002617685.1
XP_002614379.1 XP_002616985.1
XP_002614379.1 XP_002614709.1
XP_002614379.1 XP_002617717.1
XP_002614379.1 XP_002614739.1
XP_002614379.1 XP_002615524.1
XP_002614379.1 XP_002618160.1
XP_002614385.1 XP_002614310.1
XP_002614385.1 XP_002615811.1
XP_002614385.1 XP_002616839.1
XP_002614385.1 XP_002617724.1
XP_002614386.1 XP_002616851.1
XP_002614386.1 XP_002619287.1
XP_002614386.1 XP_002617340.1
XP_002614386.1 XP_002619112.1
XP_002614386.1 XP_002616126.1
XP_002614386.1 XP_002615451.1
XP_002614386.1 XP_002615423.1
XP_002614386.1 XP_002614215.1
XP_002614386.1 XP_002614695.1
XP_002614386.1 XP_002618828.1
XP_002614386.1 XP_002618827.1
XP_002614386.1 XP_002616884.1
XP_002614386.1 XP_002619263.1
XP_002614386.1 XP_002618402.1
XP_002614386.1 XP_002619296.1
XP_002614386.1 XP_002619628.1
XP_002614386.1 XP_002619759.1
XP_002614386.1 XP_002618824.1
XP_002614386.1 XP_002618357.1
XP_002614386.1 XP_002614406.1
XP_002614386.1 XP_002616324.1
XP_002614386.1 XP_002617872.1
XP_002614386.1 XP_002615599.1
XP_002614386.1 XP_002618027.1
XP_002614388.1 XP_002615982.1
XP_002614388.1 XP_002619625.1
XP_002614388.1 XP_002616046.1
XP_002614388.1 XP_002616045.1
XP_002614388.1 XP_002616706.1
XP_002614388.1 XP_002619567.1
XP_002614388.1 XP_002618002.1
XP_002614388.1 XP_002617990.1
XP_002614388.1 XP_002617800.1
XP_002614388.1 XP_002615592.1
XP_002614388.1 XP_002617038.1
XP_002614388.1 XP_002615623.1
XP_002614388.1 XP_002619848.1
XP_002614388.1 XP_002618426.1
XP_002614388.1 XP_002618638.1
XP_002614388.1 XP_002618810.1
XP_002614389.1 XP_002618404.1
XP_002614389.1 XP_002615937.1
XP_002614389.1 XP_002614379.1
XP_002614389.1 XP_002619591.1
XP_002614389.1 XP_002617717.1
XP_002614389.1 XP_002614699.1
XP_002614389.1 XP_002617248.1
XP_002614389.1 XP_002616562.1
XP_002614406.1 XP_002618827.1
XP_002614406.1 XP_002615480.1
XP_002614406.1 XP_002617748.1
XP_002614406.1 XP_002615897.1
XP_002614406.1 XP_002619263.1
XP_002614406.1 XP_002616579.1
XP_002614406.1 XP_002615285.1
XP_002614406.1 XP_002616851.1
XP_002614406.1 XP_002615183.1
XP_002614406.1 XP_002614303.1
XP_002614406.1 XP_002619296.1
XP_002614406.1 XP_002618635.1
XP_002614406.1 XP_002616859.1
XP_002614406.1 XP_002618824.1
XP_002614406.1 XP_002615655.1
XP_002614406.1 XP_002614654.1
XP_002614406.1 XP_002618357.1
XP_002614406.1 XP_002618226.1
XP_002614406.1 XP_002615898.1
XP_002614406.1 XP_002616324.1
XP_002614406.1 XP_002615721.1
XP_002614406.1 XP_002619932.1
XP_002614406.1 XP_002617872.1
XP_002614406.1 XP_002615599.1
XP_002614406.1 XP_002616551.1
XP_002614406.1 XP_002614386.1
XP_002614406.1 XP_002618027.1
XP_002614406.1 XP_002619020.1
XP_002614406.1 XP_002615451.1
XP_002614406.1 XP_002615125.1
XP_002614406.1 XP_002616126.1
XP_002614406.1 XP_002614491.1
XP_002614406.1 XP_002618828.1
XP_002614406.1 XP_002614695.1
XP_002614406.1 XP_002615994.1
XP_002614406.1 XP_002615423.1
XP_002614416.1 XP_002615954.1
XP_002614416.1 XP_002618433.1
XP_002614416.1 XP_002615957.1
XP_002614416.1 XP_002615075.1
XP_002614416.1 XP_002614302.1
XP_002614416.1 XP_002619059.1
XP_002614416.1 XP_002618436.1
XP_002614416.1 XP_002619382.1
XP_002614416.1 XP_002619596.1
XP_002614416.1 XP_002616670.1
XP_002614416.1 XP_002616556.1
XP_002614416.1 XP_002616197.1
XP_002614416.1 XP_002619823.1
XP_002614416.1 XP_002615953.1
XP_002614416.1 XP_002619438.1
XP_002614416.1 XP_002615958.1
XP_002614418.1 XP_002618424.1
XP_002614421.1 XP_002616784.1
XP_002614421.1 XP_002618144.1
XP_002614421.1 XP_002615607.1
XP_002614423.1 XP_002617274.1
XP_002614423.1 XP_002614234.1
XP_002614423.1 XP_002614893.1
XP_002614423.1 XP_002619438.1
XP_002614423.1 XP_002616399.1
XP_002614423.1 XP_002615318.1
XP_002614423.1 XP_002617174.1
XP_002614423.1 XP_002615591.1
XP_002614423.1 XP_002615737.1
XP_002614423.1 XP_002618339.1
XP_002614423.1 XP_002615805.1
XP_002614423.1 XP_002618779.1
XP_002614423.1 XP_002615508.1
XP_002614423.1 XP_002618704.1
XP_002614423.1 XP_002618288.1
XP_002614440.1 XP_002617585.1
XP_002614440.1 XP_002616523.1
XP_002614440.1 XP_002618171.1
XP_002614440.1 XP_002615281.1
XP_002614440.1 XP_002614161.1
XP_002614440.1 XP_002619746.1
XP_002614440.1 XP_002615231.1
XP_002614448.1 XP_002616232.1
XP_002614449.1 XP_002616213.1
XP_002614449.1 XP_002618499.1
XP_002614449.1 XP_002614961.1
XP_002614449.1 XP_002618687.1
XP_002614449.1 XP_002619326.1
XP_002614449.1 XP_002616628.1
XP_002614449.1 XP_002614742.1
XP_002614449.1 XP_002615832.1
XP_002614449.1 XP_002615468.1
XP_002614449.1 XP_002617167.1
XP_002614464.1 XP_002618328.1
XP_002614464.1 XP_002617317.1
XP_002614466.1 XP_002615116.1
XP_002614470.1 XP_002618373.1
