BRLA_c06690 BRLA_c40380
BRLA_c06690 BRLA_c25670
BRLA_c06690 BRLA_c13690
BRLA_c06690 BRLA_c25450
BRLA_c06690 BRLA_c40390
BRLA_c06690 BRLA_c19450
BRLA_c06690 BRLA_c06670
BRLA_c06690 BRLA_c16720
BRLA_c06690 BRLA_c24390
BRLA_c06690 BRLA_c22800
BRLA_c06690 BRLA_c01840
BRLA_c06690 BRLA_c24260
BRLA_c06690 BRLA_c34710
BRLA_c06690 BRLA_c11520
BRLA_c06720 BRLA_c40330
BRLA_c06750 BRLA_c47020
BRLA_c06750 BRLA_c30370
BRLA_c06750 BRLA_c09500
BRLA_c06770 BRLA_c16290
BRLA_c06770 BRLA_c08470
BRLA_c06770 BRLA_c08490
BRLA_c06780 BRLA_c12060
BRLA_c06790 BRLA_c30030
BRLA_c06800 BRLA_c16290
BRLA_c06850 BRLA_c43690
BRLA_c06850 BRLA_c04180
BRLA_c06850 BRLA_c23320
BRLA_c06930 BRLA_c12060
BRLA_c06950 BRLA_c22820
BRLA_c06950 BRLA_c45640
BRLA_c06950 BRLA_c05950
BRLA_c06960 BRLA_c12190
BRLA_c06960 BRLA_c32300
BRLA_c06960 BRLA_c46590
BRLA_c07020 BRLA_c02650
BRLA_c07030 BRLA_c02650
BRLA_c07040 BRLA_c02650
BRLA_c07050 BRLA_c02650
BRLA_c07060 BRLA_c02650
BRLA_c07070 BRLA_c02650
BRLA_c07080 BRLA_c02650
BRLA_c07090 BRLA_c02650
BRLA_c07250 BRLA_c30030
BRLA_c07270 BRLA_c42960
BRLA_c07270 BRLA_c07510
BRLA_c07350 BRLA_c32330
BRLA_c07510 BRLA_c39300
BRLA_c07510 BRLA_c29470
BRLA_c07510 BRLA_c38630
BRLA_c07510 BRLA_c07270
BRLA_c07510 BRLA_c01580
BRLA_c07510 BRLA_c42800
BRLA_c07910 BRLA_c07920
BRLA_c07910 BRLA_c07930
BRLA_c07910 BRLA_c29300
BRLA_c07920 BRLA_c07910
BRLA_c07930 BRLA_c43340
BRLA_c07930 BRLA_c07910
BRLA_c07940 BRLA_c07960
BRLA_c07940 BRLA_c30500
BRLA_c07940 BRLA_c09500
BRLA_c07950 BRLA_c30500
BRLA_c07950 BRLA_c07960
BRLA_c07950 BRLA_c09500
BRLA_c07960 BRLA_c07940
BRLA_c07960 BRLA_c36880
BRLA_c07960 BRLA_c43340
BRLA_c07960 BRLA_c07950
BRLA_c07960 BRLA_c02280
BRLA_c07960 BRLA_c07970
BRLA_c07960 BRLA_c14890
BRLA_c07960 BRLA_c30530
BRLA_c07960 BRLA_c30520
