ENSNLEP00000002730 ENSNLEP00000001736
ENSNLEP00000002730 ENSNLEP00000006150
ENSNLEP00000002730 ENSNLEP00000018943
ENSNLEP00000002730 ENSNLEP00000010197
ENSNLEP00000002730 ENSNLEP00000014304
ENSNLEP00000002730 ENSNLEP00000002714
ENSNLEP00000002730 ENSNLEP00000006757
ENSNLEP00000002730 ENSNLEP00000007742
ENSNLEP00000002811 ENSNLEP00000011718
ENSNLEP00000002815 ENSNLEP00000002337
ENSNLEP00000002872 ENSNLEP00000019094
ENSNLEP00000002982 ENSNLEP00000016968
ENSNLEP00000003014 ENSNLEP00000018738
ENSNLEP00000003014 ENSNLEP00000012532
ENSNLEP00000003033 ENSNLEP00000016662
ENSNLEP00000003061 ENSNLEP00000005345
ENSNLEP00000003061 ENSNLEP00000022645
ENSNLEP00000003137 ENSNLEP00000002411
ENSNLEP00000003238 ENSNLEP00000012790
ENSNLEP00000003238 ENSNLEP00000020923
ENSNLEP00000003238 ENSNLEP00000019587
ENSNLEP00000003238 ENSNLEP00000006603
ENSNLEP00000003238 ENSNLEP00000004537
ENSNLEP00000003290 ENSNLEP00000006603
ENSNLEP00000003290 ENSNLEP00000004537
ENSNLEP00000003335 ENSNLEP00000008813
ENSNLEP00000003335 ENSNLEP00000020702
ENSNLEP00000003335 ENSNLEP00000020618
ENSNLEP00000003335 ENSNLEP00000021709
ENSNLEP00000003335 ENSNLEP00000003356
ENSNLEP00000003338 ENSNLEP00000014357
ENSNLEP00000003356 ENSNLEP00000003335
ENSNLEP00000003356 ENSNLEP00000020702
ENSNLEP00000003356 ENSNLEP00000020618
ENSNLEP00000003447 ENSNLEP00000003510
ENSNLEP00000003464 ENSNLEP00000015275
ENSNLEP00000003464 ENSNLEP00000020685
ENSNLEP00000003464 ENSNLEP00000005055
ENSNLEP00000003464 ENSNLEP00000015936
ENSNLEP00000003464 ENSNLEP00000007715
ENSNLEP00000003464 ENSNLEP00000012370
ENSNLEP00000003464 ENSNLEP00000006801
ENSNLEP00000003464 ENSNLEP00000018121
ENSNLEP00000003464 ENSNLEP00000013474
ENSNLEP00000003464 ENSNLEP00000019407
ENSNLEP00000003464 ENSNLEP00000007287
ENSNLEP00000003464 ENSNLEP00000012443
ENSNLEP00000003464 ENSNLEP00000017031
ENSNLEP00000003464 ENSNLEP00000020499
ENSNLEP00000003464 ENSNLEP00000001603
ENSNLEP00000003464 ENSNLEP00000019091
ENSNLEP00000003464 ENSNLEP00000017278
ENSNLEP00000003464 ENSNLEP00000003863
ENSNLEP00000003509 ENSNLEP00000023982
ENSNLEP00000003510 ENSNLEP00000003447
ENSNLEP00000003593 ENSNLEP00000020310
ENSNLEP00000003593 ENSNLEP00000002596
ENSNLEP00000003707 ENSNLEP00000012532
ENSNLEP00000003716 ENSNLEP00000013145
ENSNLEP00000003760 ENSNLEP00000006626
ENSNLEP00000003760 ENSNLEP00000018366
ENSNLEP00000003760 ENSNLEP00000003865
ENSNLEP00000003760 ENSNLEP00000020702
ENSNLEP00000003760 ENSNLEP00000020618
ENSNLEP00000003760 ENSNLEP00000021576
ENSNLEP00000003760 ENSNLEP00000006601
ENSNLEP00000003760 ENSNLEP00000004136
ENSNLEP00000003783 ENSNLEP00000009397
ENSNLEP00000003813 ENSNLEP00000006554
ENSNLEP00000003845 ENSNLEP00000001277
ENSNLEP00000003863 ENSNLEP00000019091
ENSNLEP00000003863 ENSNLEP00000017278
ENSNLEP00000003863 ENSNLEP00000007715
ENSNLEP00000003863 ENSNLEP00000018121
ENSNLEP00000003863 ENSNLEP00000006801
ENSNLEP00000003863 ENSNLEP00000013474
ENSNLEP00000003863 ENSNLEP00000019407
ENSNLEP00000003863 ENSNLEP00000015275
ENSNLEP00000003863 ENSNLEP00000020685
ENSNLEP00000003863 ENSNLEP00000007287
ENSNLEP00000003863 ENSNLEP00000012443
ENSNLEP00000003863 ENSNLEP00000017031
ENSNLEP00000003863 ENSNLEP00000020499
