NGR_c11070 NGR_c23460
NGR_c11070 NGR_c08670
NGR_c11070 NGR_c31290
NGR_c11070 NGR_c29930
NGR_c11070 NGR_c26750
NGR_c11070 NGR_c34110
NGR_c11070 NGR_c11080
NGR_c11070 NGR_c09720
NGR_c11070 NGR_c32720
NGR_c11070 NGR_c08900
NGR_c11070 NGR_c33800
NGR_c11070 NGR_c25100
NGR_c01100 NGR_c01110
NGR_c01100 NGR_c01120
NGR_c11080 NGR_c11070
NGR_c11080 NGR_c33330
NGR_c11080 NGR_c32720
NGR_c11080 NGR_c08670
NGR_c11080 NGR_c23460
NGR_c11080 NGR_c31290
NGR_c11080 NGR_c29930
NGR_c11080 NGR_c26750
NGR_c11080 NGR_c34110
NGR_c11080 NGR_c09720
NGR_c11080 NGR_c05020
NGR_c11080 NGR_c13470
NGR_c11080 NGR_c12850
NGR_c11080 NGR_c01680
NGR_c11080 NGR_c27260
NGR_c11080 NGR_c08900
NGR_c11080 NGR_c33800
NGR_c11080 NGR_c25100
NGR_c11080 NGR_c03390
NGR_c11080 NGR_c31280
NGR_c11090 NGR_c27220
NGR_c11090 NGR_c33520
NGR_c11110 NGR_c26590
NGR_c11110 NGR_c31300
NGR_c11110 NGR_c25880
NGR_c11110 NGR_c08500
NGR_c11110 NGR_c20350
NGR_c11120 NGR_c00100
NGR_c11120 NGR_c26850
NGR_c11120 NGR_c00830
NGR_c11120 NGR_c21340
NGR_c11120 NGR_c09410
NGR_c11150 NGR_c07700
NGR_c11150 NGR_c16080
NGR_c11150 NGR_c21070
NGR_c11150 NGR_c35080
NGR_c11150 NGR_c05120
NGR_c01110 NGR_c01100
NGR_c01110 NGR_c01120
NGR_c11180 NGR_c29100
NGR_c11180 NGR_c29120
NGR_c11180 NGR_c06630
NGR_c11180 NGR_c31730
NGR_c11180 NGR_c35560
NGR_c11180 NGR_c13940
NGR_c11180 NGR_c16950
NGR_c11180 NGR_c06640
NGR_c11180 NGR_c29110
NGR_c11280 NGR_c05350
NGR_c01120 NGR_c01110
NGR_c01120 NGR_c01100
NGR_c01140 NGR_c01810
NGR_c01140 NGR_c10900
NGR_c01140 NGR_c10890
NGR_c01150 NGR_c36700
NGR_c01150 NGR_c22970
NGR_c01150 NGR_c01810
NGR_c11600 NGR_c27850
NGR_c11680 NGR_c08270
NGR_c01160 NGR_c06580
NGR_c01160 NGR_c06510
NGR_c01160 NGR_c14650
NGR_c01160 NGR_c06500
NGR_c01160 NGR_c33670
NGR_c01160 NGR_c30520
NGR_c01160 NGR_c24690
NGR_c01160 NGR_c23710
NGR_c01160 NGR_c35330
NGR_c01160 NGR_c01170
NGR_c01160 NGR_c21220
NGR_c01160 NGR_c33900
NGR_c01160 NGR_c03130
NGR_c01160 NGR_c29480
NGR_c01160 NGR_c30500
NGR_c01160 NGR_c06460
NGR_c11740 NGR_c28650
NGR_c01170 NGR_c34850
NGR_c01170 NGR_c35330
NGR_c01170 NGR_c06590
NGR_c01170 NGR_c06610
NGR_c01170 NGR_c34890
NGR_c01170 NGR_c05700
NGR_c01170 NGR_c21220
NGR_c01170 NGR_c12830
NGR_c01170 NGR_c06570
NGR_c01170 NGR_c05180
NGR_c01170 NGR_c28980
NGR_c01170 NGR_c07380
NGR_c01170 NGR_c01160
NGR_c01170 NGR_c12760
NGR_c01170 NGR_c03190
NGR_c01170 NGR_c30500
NGR_c01170 NGR_c28060
NGR_c01170 NGR_c12800
NGR_c01170 NGR_c31170
NGR_c01170 NGR_c28350
NGR_c01170 NGR_c06460
NGR_c01170 NGR_c28100
NGR_c01170 NGR_c06580
NGR_c01170 NGR_c14650
NGR_c01170 NGR_c28070
NGR_c01170 NGR_c30520
NGR_c01170 NGR_c12820
NGR_c01170 NGR_c29340
NGR_c11830 NGR_c35920
NGR_c11830 NGR_c11840
NGR_c11830 NGR_c28120
NGR_c11830 NGR_c24800
NGR_c11830 NGR_c01580
NGR_c11830 NGR_c17110
NGR_c11830 NGR_c35730
NGR_c11830 NGR_c12770
NGR_c11830 NGR_c12570
NGR_c11830 NGR_c13030
NGR_c11830 NGR_c24290
NGR_c11830 NGR_c09400
NGR_c11830 NGR_c29090
NGR_c11830 NGR_c14580
NGR_c11830 NGR_c28350
NGR_c11830 NGR_c05210
NGR_c11830 NGR_c18230
NGR_c11830 NGR_c09130
NGR_c11830 NGR_c01040
NGR_c11830 NGR_c12140
NGR_c11840 NGR_c09400
NGR_c11840 NGR_c17110
NGR_c11840 NGR_c28120
NGR_c11840 NGR_c11830
NGR_c11840 NGR_c24290
NGR_c11840 NGR_c29090
NGR_c11840 NGR_c12140
NGR_c11840 NGR_c05210
NGR_c11840 NGR_c18230
NGR_c11840 NGR_c09130
NGR_c11840 NGR_c01040
NGR_c11840 NGR_c28350
NGR_c11840 NGR_c35920
NGR_c11840 NGR_c24800
NGR_c11840 NGR_c01580
NGR_c11840 NGR_c35730
NGR_c11840 NGR_c12770
NGR_c11840 NGR_c12570
NGR_c11840 NGR_c13030
NGR_c11840 NGR_c14580
NGR_c01180 NGR_c04900
NGR_c01180 NGR_c21590
NGR_c01180 NGR_c01690
NGR_c01180 NGR_c10910
NGR_c12110 NGR_c35730
NGR_c12110 NGR_c28490
NGR_c12110 NGR_c13030
NGR_c12110 NGR_c31130
NGR_c12110 NGR_c15550
NGR_c12110 NGR_c28350
NGR_c12110 NGR_c04490
NGR_c12110 NGR_c23300
NGR_c12110 NGR_c04500
NGR_c12110 NGR_c09130
NGR_c12110 NGR_c31120
NGR_c12110 NGR_c02720
NGR_c12110 NGR_c08030
NGR_c12110 NGR_c04470
NGR_c12110 NGR_c06100
NGR_c12110 NGR_c31140
NGR_c12110 NGR_c26380
NGR_c12110 NGR_c04460
NGR_c12110 NGR_c04480
NGR_c12110 NGR_c15170
NGR_c12110 NGR_c31100
NGR_c12110 NGR_c13750
NGR_c12140 NGR_c11840
NGR_c12140 NGR_c28120
NGR_c12140 NGR_c11830
NGR_c12140 NGR_c01580
NGR_c12140 NGR_c24800
NGR_c12140 NGR_c35920
NGR_c12140 NGR_c17110
NGR_c12140 NGR_c29090
NGR_c12140 NGR_c24290
NGR_c12140 NGR_c09400
NGR_c12140 NGR_c14580
NGR_c12140 NGR_c28350
NGR_c12140 NGR_c05210
NGR_c12140 NGR_c18230
NGR_c12140 NGR_c09130
NGR_c12140 NGR_c35730
NGR_c12140 NGR_c12770
NGR_c12140 NGR_c12570
NGR_c12140 NGR_c13030
NGR_c12140 NGR_c01040
NGR_c12220 NGR_c03950
