STRCR_0998 STRCR_1457
STRCR_0998 STRCR_1054
STRCR_1032 STRCR_0122
STRCR_1033 STRCR_0809
STRCR_1054 STRCR_0998
STRCR_1054 STRCR_2122
STRCR_1054 STRCR_2343
STRCR_1055 STRCR_0768
STRCR_1072 STRCR_1317
STRCR_1072 STRCR_2315
STRCR_1088 STRCR_2003
STRCR_1088 STRCR_0694
STRCR_1088 STRCR_1248
STRCR_1096 STRCR_1105
STRCR_1098 STRCR_1238
STRCR_1098 STRCR_1237
STRCR_1098 STRCR_1742
STRCR_1105 STRCR_1096
STRCR_1105 STRCR_2343
STRCR_1105 STRCR_0768
STRCR_1119 STRCR_0106
STRCR_1120 STRCR_1121
STRCR_1121 STRCR_1120
STRCR_1121 STRCR_0456
STRCR_1128 STRCR_0019
STRCR_1128 STRCR_0387
STRCR_1136 STRCR_0809
STRCR_1136 STRCR_1870
STRCR_1162 STRCR_1910
STRCR_1200 STRCR_1206
STRCR_1200 STRCR_0943
STRCR_1200 STRCR_0599
STRCR_1200 STRCR_1375
STRCR_1200 STRCR_2008
STRCR_1200 STRCR_0919
STRCR_1200 STRCR_2009
STRCR_1200 STRCR_0280
STRCR_1200 STRCR_0019
STRCR_1200 STRCR_0183
STRCR_1206 STRCR_1200
STRCR_1206 STRCR_2008
STRCR_1206 STRCR_2339
STRCR_1206 STRCR_1693
STRCR_1206 STRCR_1900
STRCR_1206 STRCR_2009
STRCR_1212 STRCR_1786
STRCR_1212 STRCR_1213
STRCR_1213 STRCR_1788
STRCR_1213 STRCR_1212
STRCR_1214 STRCR_1959
STRCR_1214 STRCR_0442
STRCR_1225 STRCR_1226
STRCR_1226 STRCR_1227
STRCR_1226 STRCR_1225
STRCR_1227 STRCR_1226
STRCR_1233 STRCR_1315
STRCR_1233 STRCR_0840
STRCR_1237 STRCR_1242
STRCR_1237 STRCR_1098
STRCR_1238 STRCR_1242
STRCR_1238 STRCR_1098
STRCR_1242 STRCR_1238
STRCR_1242 STRCR_1237
STRCR_1248 STRCR_1680
STRCR_1248 STRCR_1679
STRCR_1248 STRCR_1088
STRCR_1248 STRCR_1872
STRCR_1248 STRCR_0585
STRCR_1248 STRCR_1681
STRCR_1248 STRCR_2280
STRCR_1266 STRCR_0760
STRCR_1267 STRCR_0760
STRCR_1296 STRCR_0832
STRCR_1296 STRCR_0202
STRCR_1296 STRCR_1922
STRCR_1296 STRCR_1298
STRCR_1297 STRCR_1922
STRCR_1297 STRCR_0488
STRCR_1298 STRCR_1782
STRCR_1298 STRCR_1618
STRCR_1298 STRCR_1296
STRCR_1304 STRCR_1307
STRCR_1305 STRCR_1315
STRCR_1305 STRCR_1307
STRCR_1306 STRCR_1307
STRCR_1306 STRCR_1315
STRCR_1307 STRCR_1305
STRCR_1307 STRCR_1304
STRCR_1307 STRCR_1306
STRCR_1310 STRCR_1872
STRCR_1315 STRCR_0125
STRCR_1315 STRCR_1233
STRCR_1315 STRCR_0185
STRCR_1315 STRCR_1305
STRCR_1315 STRCR_0200
STRCR_1315 STRCR_1306
STRCR_1315 STRCR_2174
STRCR_1317 STRCR_1318
STRCR_1317 STRCR_1072
STRCR_1318 STRCR_1317
STRCR_1319 STRCR_1714
STRCR_1319 STRCR_1452
STRCR_1319 STRCR_2179
STRCR_1319 STRCR_1613
STRCR_1322 STRCR_0095
STRCR_1322 STRCR_1449
STRCR_1372 STRCR_1712
STRCR_1375 STRCR_1200
STRCR_1378 STRCR_0488
STRCR_1378 STRCR_0581
STRCR_1378 STRCR_0914
STRCR_1378 STRCR_0794
STRCR_1387 STRCR_0202
STRCR_1387 STRCR_0832
STRCR_1387 STRCR_1388
STRCR_1387 STRCR_1613
STRCR_1387 STRCR_0919
STRCR_1387 STRCR_0183
STRCR_1387 STRCR_1618
STRCR_1388 STRCR_1387
STRCR_1388 STRCR_1613
STRCR_1436 STRCR_1438
STRCR_1437 STRCR_1438
STRCR_1437 STRCR_1439
STRCR_1438 STRCR_1436
STRCR_1438 STRCR_1437
STRCR_1439 STRCR_1437
STRCR_1449 STRCR_1844
STRCR_1449 STRCR_1322
STRCR_1449 STRCR_0713
STRCR_1449 STRCR_1450
STRCR_1450 STRCR_0517
STRCR_1450 STRCR_1449
STRCR_1452 STRCR_1613
STRCR_1452 STRCR_1319
STRCR_1454 STRCR_1456
STRCR_1455 STRCR_1456
STRCR_1456 STRCR_1455
STRCR_1456 STRCR_1454
STRCR_1457 STRCR_0998
STRCR_1457 STRCR_1814
STRCR_1457 STRCR_1750
STRCR_1553 STRCR_0019
STRCR_1553 STRCR_0387
STRCR_1587 STRCR_0122
STRCR_1613 STRCR_1319
STRCR_1613 STRCR_1387
STRCR_1613 STRCR_2179
STRCR_1613 STRCR_1452
STRCR_1613 STRCR_1388
STRCR_1613 STRCR_1799
STRCR_1613 STRCR_1714
STRCR_1618 STRCR_1298
STRCR_1618 STRCR_0202
STRCR_1618 STRCR_0919
STRCR_1618 STRCR_0832
