LILAB_01445 LILAB_35365
LILAB_01445 LILAB_24435
LILAB_01445 LILAB_27945
LILAB_01445 LILAB_02030
LILAB_01445 LILAB_31810
LILAB_01445 LILAB_24225
LILAB_01445 LILAB_12610
LILAB_01445 LILAB_20395
LILAB_01445 LILAB_07990
LILAB_01445 LILAB_09765
LILAB_01475 LILAB_34695
LILAB_01495 LILAB_36255
LILAB_01525 LILAB_11905
LILAB_01525 LILAB_11910
LILAB_01545 LILAB_34455
LILAB_01545 LILAB_30425
LILAB_01545 LILAB_30385
LILAB_01545 LILAB_10705
LILAB_01545 LILAB_10570
LILAB_01545 LILAB_29070
LILAB_01545 LILAB_06300
LILAB_01550 LILAB_07380
LILAB_01550 LILAB_31780
LILAB_01550 LILAB_17965
LILAB_01550 LILAB_20455
LILAB_01550 LILAB_09920
LILAB_01550 LILAB_22290
LILAB_01550 LILAB_09080
LILAB_01550 LILAB_15945
LILAB_01550 LILAB_31070
LILAB_01550 LILAB_15510
LILAB_01550 LILAB_16920
LILAB_01550 LILAB_26795
LILAB_01550 LILAB_03190
LILAB_01550 LILAB_00880
LILAB_01550 LILAB_15940
LILAB_01550 LILAB_24085
LILAB_01575 LILAB_22960
LILAB_01575 LILAB_27915
LILAB_01575 LILAB_16920
LILAB_01575 LILAB_20530
LILAB_01575 LILAB_12125
LILAB_01575 LILAB_27910
LILAB_01575 LILAB_07380
LILAB_01575 LILAB_24825
LILAB_01575 LILAB_31780
LILAB_01580 LILAB_23515
LILAB_01580 LILAB_14405
LILAB_01600 LILAB_12505
LILAB_01600 LILAB_28295
LILAB_01600 LILAB_15630
LILAB_01600 LILAB_08285
LILAB_01600 LILAB_26155
LILAB_01600 LILAB_10945
LILAB_01600 LILAB_06090
LILAB_01600 LILAB_26395
LILAB_01600 LILAB_08655
LILAB_01600 LILAB_19635
LILAB_01600 LILAB_19285
LILAB_01600 LILAB_04355
LILAB_01600 LILAB_22640
LILAB_01600 LILAB_01875
LILAB_01610 LILAB_25510
LILAB_01610 LILAB_32410
LILAB_01610 LILAB_00500
LILAB_01610 LILAB_00760
LILAB_01610 LILAB_28260
LILAB_01610 LILAB_02635
LILAB_01610 LILAB_17090
LILAB_01610 LILAB_14025
LILAB_01610 LILAB_17540
LILAB_01610 LILAB_03385
LILAB_01610 LILAB_31000
LILAB_01610 LILAB_36060
LILAB_01610 LILAB_01160
LILAB_01740 LILAB_25585
LILAB_01740 LILAB_25575
LILAB_01745 LILAB_16550
LILAB_01745 LILAB_21725
