SSNG_01080 SSNG_00916
SSNG_01080 SSNG_01278
SSNG_01080 SSNG_01346
SSNG_01080 SSNG_02337
SSNG_01081 SSNG_00807
SSNG_01081 SSNG_06194
SSNG_01081 SSNG_03330
SSNG_01081 SSNG_01758
SSNG_01084 SSNG_05173
SSNG_01096 SSNG_01098
SSNG_01097 SSNG_01098
SSNG_01098 SSNG_05184
SSNG_01098 SSNG_01096
SSNG_01098 SSNG_04023
SSNG_01098 SSNG_01097
SSNG_01098 SSNG_02380
SSNG_01109 SSNG_04235
SSNG_01109 SSNG_04324
SSNG_01109 SSNG_03316
SSNG_01109 SSNG_03691
SSNG_01189 SSNG_04411
SSNG_01189 SSNG_05021
SSNG_01189 SSNG_06184
SSNG_01189 SSNG_02026
SSNG_01189 SSNG_00962
SSNG_01189 SSNG_07356
SSNG_01189 SSNG_03797
SSNG_01200 SSNG_05173
SSNG_01229 SSNG_04285
SSNG_01229 SSNG_01503
SSNG_01229 SSNG_03378
SSNG_01241 SSNG_03972
SSNG_01241 SSNG_06222
SSNG_01252 SSNG_01253
SSNG_01253 SSNG_01875
SSNG_01253 SSNG_01252
SSNG_01254 SSNG_01257
SSNG_01257 SSNG_01254
SSNG_01259 SSNG_06231
SSNG_01259 SSNG_04778
SSNG_01259 SSNG_00676
SSNG_01259 SSNG_04922
SSNG_01259 SSNG_06471
SSNG_01259 SSNG_04523
SSNG_01259 SSNG_06288
SSNG_01259 SSNG_02461
SSNG_01259 SSNG_02497
SSNG_01278 SSNG_04324
SSNG_01278 SSNG_06112
SSNG_01278 SSNG_03513
SSNG_01278 SSNG_01370
SSNG_01278 SSNG_04295
SSNG_01278 SSNG_03779
SSNG_01278 SSNG_01080
SSNG_01278 SSNG_05401
SSNG_01285 SSNG_00863
SSNG_01286 SSNG_03417
SSNG_01286 SSNG_00719
SSNG_01286 SSNG_00436
SSNG_01286 SSNG_05715
SSNG_01286 SSNG_02699
SSNG_01286 SSNG_05603
SSNG_01286 SSNG_04615
SSNG_01286 SSNG_00437
SSNG_01288 SSNG_06978
SSNG_01288 SSNG_01299
SSNG_01290 SSNG_05609
SSNG_01290 SSNG_05611
SSNG_01294 SSNG_04980
SSNG_01297 SSNG_04611
SSNG_01297 SSNG_01953
SSNG_01299 SSNG_04086
SSNG_01299 SSNG_04290
SSNG_01299 SSNG_04396
SSNG_01299 SSNG_01545
SSNG_01299 SSNG_06977
SSNG_01299 SSNG_02159
SSNG_01299 SSNG_00941
SSNG_01299 SSNG_01288
SSNG_01299 SSNG_01457
SSNG_01299 SSNG_01059
SSNG_01315 SSNG_05945
SSNG_01315 SSNG_05946
SSNG_01315 SSNG_01753
SSNG_01323 SSNG_05039
SSNG_01323 SSNG_05647
SSNG_01323 SSNG_01499
SSNG_01324 SSNG_04250
SSNG_01324 SSNG_03216
SSNG_01324 SSNG_05124
SSNG_01326 SSNG_04769
SSNG_01326 SSNG_04768
SSNG_01326 SSNG_01370
SSNG_01326 SSNG_06112
SSNG_01326 SSNG_03513
SSNG_01326 SSNG_04295
SSNG_01326 SSNG_02357
SSNG_01326 SSNG_01080
SSNG_01326 SSNG_05401
SSNG_01327 SSNG_02357
SSNG_01327 SSNG_04768
SSNG_01327 SSNG_01080
SSNG_01327 SSNG_06112
SSNG_01327 SSNG_04295
SSNG_01327 SSNG_04769
SSNG_01327 SSNG_01370
SSNG_01327 SSNG_03513
SSNG_01327 SSNG_05401
SSNG_01328 SSNG_03331
SSNG_01328 SSNG_05171
SSNG_01328 SSNG_01597
SSNG_01329 SSNG_03331
SSNG_01330 SSNG_05422
SSNG_01330 SSNG_01334
SSNG_01330 SSNG_05466
SSNG_01330 SSNG_02337
SSNG_01331 SSNG_05422
SSNG_01331 SSNG_02337
SSNG_01331 SSNG_01334
SSNG_01331 SSNG_05466
SSNG_01333 SSNG_05735
SSNG_01333 SSNG_02807
SSNG_01334 SSNG_01330
SSNG_01334 SSNG_01331
SSNG_01341 SSNG_01343
SSNG_01341 SSNG_01345
SSNG_01341 SSNG_01342
SSNG_01342 SSNG_03174
SSNG_01342 SSNG_01951
SSNG_01342 SSNG_01341
SSNG_01342 SSNG_05402
SSNG_01343 SSNG_01951
SSNG_01343 SSNG_01345
SSNG_01343 SSNG_01341
SSNG_01343 SSNG_04758
SSNG_01343 SSNG_03174
SSNG_01343 SSNG_05402
SSNG_01344 SSNG_04293
SSNG_01344 SSNG_04758
SSNG_01344 SSNG_05399
SSNG_01344 SSNG_01874
SSNG_01344 SSNG_01952
SSNG_01344 SSNG_07498
SSNG_01345 SSNG_03174
SSNG_01345 SSNG_01341
SSNG_01345 SSNG_01343
SSNG_01346 SSNG_03173
SSNG_01346 SSNG_01080
SSNG_01346 SSNG_05400
SSNG_01346 SSNG_01370
SSNG_01346 SSNG_01396
SSNG_01346 SSNG_04668
SSNG_01346 SSNG_06112
SSNG_01370 SSNG_01326
SSNG_01370 SSNG_01278
SSNG_01370 SSNG_04281
SSNG_01370 SSNG_01327
SSNG_01370 SSNG_00916
SSNG_01370 SSNG_02337
SSNG_01370 SSNG_01346
SSNG_01375 SSNG_05173
SSNG_01396 SSNG_01346
SSNG_01396 SSNG_00916
SSNG_01407 SSNG_00904
SSNG_01407 SSNG_02004
