TGME49_002800 TGME49_040550
TGME49_002800 TGME49_006310
TGME49_002800 TGME49_028180
TGME49_002800 TGME49_106390
TGME49_002820 TGME49_078670
TGME49_002820 TGME49_051640
TGME49_002920 TGME49_001380
TGME49_002960 TGME49_105980
TGME49_002960 TGME49_088450
TGME49_002960 TGME49_049390
TGME49_002960 TGME49_037470
TGME49_002960 TGME49_093180
TGME49_002960 TGME49_039530
TGME49_002960 TGME49_034190
TGME49_002960 TGME49_006470
TGME49_003110 TGME49_088500
TGME49_003110 TGME49_093180
TGME49_003110 TGME49_004460
TGME49_003110 TGME49_068890
TGME49_003110 TGME49_031890
TGME49_003110 TGME49_067330
TGME49_003110 TGME49_049390
TGME49_003110 TGME49_063190
TGME49_003110 TGME49_084190
TGME49_003110 TGME49_021320
TGME49_003110 TGME49_101120
TGME49_003110 TGME49_073740
TGME49_003110 TGME49_023840
TGME49_003110 TGME49_089930
TGME49_003110 TGME49_006610
TGME49_003110 TGME49_026730
TGME49_003110 TGME49_089650
TGME49_003110 TGME49_048600
TGME49_003490 TGME49_105750
TGME49_003970 TGME49_002570
TGME49_003970 TGME49_105870
TGME49_003970 TGME49_063690
TGME49_003970 TGME49_042020
TGME49_003970 TGME49_031430
TGME49_004400 TGME49_048670
TGME49_004400 TGME49_083830
TGME49_004460 TGME49_023840
TGME49_004460 TGME49_101120
TGME49_004460 TGME49_019550
TGME49_004460 TGME49_006610
TGME49_004460 TGME49_090600
TGME49_004460 TGME49_068890
TGME49_004460 TGME49_003110
TGME49_004460 TGME49_073740
TGME49_004460 TGME49_109750
TGME49_005010 TGME49_030960
TGME49_005010 TGME49_024580
TGME49_005010 TGME49_105010
TGME49_005010 TGME49_048250
TGME49_005010 TGME49_114740
TGME49_005010 TGME49_114830
TGME49_005030 TGME49_026600
TGME49_005030 TGME49_023620
TGME49_005030 TGME49_070070
TGME49_005420 TGME49_042300
TGME49_005420 TGME49_027090
TGME49_005430 TGME49_117700
TGME49_005430 TGME49_119920
TGME49_005430 TGME49_069680
TGME49_005720 TGME49_015480
TGME49_005720 TGME49_050880
TGME49_006310 TGME49_002800
TGME49_006310 TGME49_114040
TGME49_006310 TGME49_093390
TGME49_006310 TGME49_106390
TGME49_006310 TGME49_028180
TGME49_006310 TGME49_040550
TGME49_006310 TGME49_009260
TGME49_006310 TGME49_110470
TGME49_006470 TGME49_092100
TGME49_006470 TGME49_088450
TGME49_006470 TGME49_019550
TGME49_006470 TGME49_039490
TGME49_006470 TGME49_049390
TGME49_006470 TGME49_119920
TGME49_006470 TGME49_072290
TGME49_006470 TGME49_039530
TGME49_006470 TGME49_105980
TGME49_006470 TGME49_002960
TGME49_006470 TGME49_037470
TGME49_006470 TGME49_093180
TGME49_006470 TGME49_034190
TGME49_006470 TGME49_114400
TGME49_006470 TGME49_006610
TGME49_006470 TGME49_044200
TGME49_006610 TGME49_031890
TGME49_006610 TGME49_068890
TGME49_006610 TGME49_003110
TGME49_006610 TGME49_073740
TGME49_006610 TGME49_111370
TGME49_006610 TGME49_066640
TGME49_006610 TGME49_109750
TGME49_006610 TGME49_084190
TGME49_006610 TGME49_072290
TGME49_006610 TGME49_089930
TGME49_006610 TGME49_023840
TGME49_006610 TGME49_021320
TGME49_006610 TGME49_093810
TGME49_006610 TGME49_004460
TGME49_006610 TGME49_101120
TGME49_006610 TGME49_105980
TGME49_006610 TGME49_089650
TGME49_006610 TGME49_006470
TGME49_006610 TGME49_090600
TGME49_007060 TGME49_057740
TGME49_007060 TGME49_094640
TGME49_007060 TGME49_106970
TGME49_007060 TGME49_002210
TGME49_007060 TGME49_058640
TGME49_007060 TGME49_033400
TGME49_007060 TGME49_110810
TGME49_007060 TGME49_030460
TGME49_007060 TGME49_042730
TGME49_007060 TGME49_081970
TGME49_007060 TGME49_024900
TGME49_007060 TGME49_088320
TGME49_007060 TGME49_095350
TGME49_007060 TGME49_056760
TGME49_007070 TGME49_030590
TGME49_007070 TGME49_044520
TGME49_007640 TGME49_077030
TGME49_007710 TGME49_041860
TGME49_007710 TGME49_099040
TGME49_007710 TGME49_022970
TGME49_007710 TGME49_096010
TGME49_007710 TGME49_081980
TGME49_008530 TGME49_022710
TGME49_008590 TGME49_048670
TGME49_008590 TGME49_083830
TGME49_008780 TGME49_066460
TGME49_008820 TGME49_014850
TGME49_009150 TGME49_088830
TGME49_009260 TGME49_006310
TGME49_009260 TGME49_028180
TGME49_009260 TGME49_002800
TGME49_009260 TGME49_106390
TGME49_009260 TGME49_110470
TGME49_009260 TGME49_040550
TGME49_010260 TGME49_047360
TGME49_010260 TGME49_039250
TGME49_010260 TGME49_063730
TGME49_010260 TGME49_107570
TGME49_010260 TGME49_070910
TGME49_010260 TGME49_030690
TGME49_010260 TGME49_002460
TGME49_010440 TGME49_085540
TGME49_010750 TGME49_106960
TGME49_010750 TGME49_034500
TGME49_010790 TGME49_093610
TGME49_010840 TGME49_033860
TGME49_010960 TGME49_037110
TGME49_011040 TGME49_069980
TGME49_011040 TGME49_030380
TGME49_011090 TGME49_105910
TGME49_011090 TGME49_100120
TGME49_011090 TGME49_012100
TGME49_011230 TGME49_035540
TGME49_011230 TGME49_035970
TGME49_011230 TGME49_074190
TGME49_011230 TGME49_113230
TGME49_011230 TGME49_113060
TGME49_011230 TGME49_016260
TGME49_011680 TGME49_049270
TGME49_012100 TGME49_105910
TGME49_012100 TGME49_073350
TGME49_012100 TGME49_100120
TGME49_012100 TGME49_011090
TGME49_012100 TGME49_033200
TGME49_012240 TGME49_021620
TGME49_012240 TGME49_077510
TGME49_012240 TGME49_031400
TGME49_012240 TGME49_066960
TGME49_012240 TGME49_094550
TGME49_012240 TGME49_047600
TGME49_012240 TGME49_031770
TGME49_012240 TGME49_048880
TGME49_012240 TGME49_116400
TGME49_012310 TGME49_091310
TGME49_012310 TGME49_023250
TGME49_012310 TGME49_048670
TGME49_012310 TGME49_083830
TGME49_012740 TGME49_048600
