OCA5_c06930 OCA5_c21260
OCA5_c06940 OCAR_6932
OCA5_c06940 OCA5_c06930
OCA5_c07290 OCA5_c33630
OCA5_c07290 OCA5_c10710
OCA5_c07290 OCA5_c08330
OCA5_c07290 OCA5_c08350
OCA5_c07290 OCA5_c08340
OCA5_c07300 OCA5_c07310
OCA5_c07300 OCA5_c30720
OCA5_c07300 OCA5_c07340
OCA5_c07310 OCA5_c07300
OCA5_c07330 OCA5_c06650
OCA5_c07330 OCA5_c12430
OCA5_c07340 OCA5_c33950
OCA5_c07340 OCA5_c07300
OCA5_c07340 OCA5_c30720
OCA5_c07340 OCA5_c33960
OCA5_c07400 OCA5_c28500
OCA5_c07440 OCA5_c27330
OCA5_c07440 OCA5_c03960
OCA5_c07460 OCAR_7262
OCA5_c07460 OCA5_c23770
OCA5_c07460 OCA5_c08520
OCA5_c07520 OCAR_7366
OCA5_c07520 OCA5_c07530
OCA5_c07520 OCA5_c23820
OCA5_c07520 OCAR_5618
OCA5_c07520 OCAR_7367
OCA5_c07530 OCAR_7366
OCA5_c07530 OCA5_c23820
OCA5_c07530 OCAR_5618
OCA5_c07530 OCA5_c07520
OCA5_c07530 OCAR_7367
OCA5_c07600 OCA5_c01240
OCA5_c07660 OCA5_c19580
OCA5_c07660 OCA5_c11900
OCA5_c07660 OCA5_c12020
OCA5_c07660 OCA5_c27470
OCA5_c07710 OCA5_c10940
OCA5_c07720 OCA5_c10940
OCA5_c07730 OCA5_c10940
OCA5_c07740 OCA5_c10940
OCA5_c07820 OCAR_7075
OCA5_c07880 OCA5_c32570
OCA5_c07880 OCA5_c20100
OCA5_c08030 OCA5_c26330
OCA5_c08030 OCA5_c21520
OCA5_c08040 OCA5_c20090
OCA5_c08040 OCA5_c17320
OCA5_c08050 OCA5_c01080
OCA5_c08050 OCA5_c11810
OCA5_c08050 OCA5_c26120
OCA5_c08100 OCA5_c02150
OCA5_c08330 OCA5_c07290
OCA5_c08330 OCA5_c14990
OCA5_c08340 OCA5_c07290
OCA5_c08340 OCA5_c14990
OCA5_c08350 OCA5_c14990
OCA5_c08350 OCA5_c07290
OCA5_c08520 OCA5_c07460
OCA5_c08520 OCA5_c01310
OCA5_c08570 OCA5_c29240
OCA5_c08570 OCA5_c11290
OCA5_c08570 OCA5_c19980
OCA5_c08640 OCA5_c20550
OCA5_c08680 OCA5_c16640
OCA5_c08680 OCA5_c16970
OCA5_c08740 OCA5_c06210
OCA5_c08740 OCA5_c06640
OCA5_c08810 OCA5_c21550
OCA5_c08870 OCA5_c22490
OCA5_c09060 OCA5_c17540
OCA5_c09060 OCA5_c00710
OCA5_c09200 OCA5_c06210
OCA5_c09200 OCA5_c06640
OCA5_c09360 OCA5_c33630
OCA5_c09360 OCA5_c04150
OCA5_c09360 OCA5_c26610
OCA5_c09360 OCA5_c11410
OCA5_c09400 OCA5_c20430
OCA5_c09400 OCA5_c04330
OCA5_c09400 OCA5_c28950
OCA5_c09430 OCA5_c18140
OCA5_c09430 OCA5_c18150
OCA5_c09480 OCA5_c16860
OCA5_c09480 OCA5_c26900
OCA5_c09480 OCA5_c09490
OCA5_c09480 OCA5_c05880
OCA5_c09490 OCA5_c09480
OCA5_c09630 OCA5_c10940
OCA5_c09640 OCA5_c10940
OCA5_c09650 OCA5_c10940
OCA5_c09750 OCAR_5040
OCA5_c09750 OCA5_c01990
OCA5_c09750 OCA5_c10900
OCA5_c09750 OCA5_c30590
OCA5_c09750 OCA5_c10920
OCA5_c09750 OCA5_c01200
OCA5_c09750 OCAR_6974
OCA5_c09900 OCA5_c23090
OCA5_c10070 OCA5_c20530
OCA5_c10070 OCA5_c15030
OCA5_c10070 OCA5_c17520
OCA5_c10070 OCA5_c17490
OCA5_c10070 OCA5_c33590
OCA5_c10070 OCA5_c30860
OCA5_c10070 OCA5_c17470
OCA5_c10070 OCA5_c33080
OCA5_c10070 OCA5_c28810
OCA5_c10070 OCA5_c13270
OCA5_c10070 OCA5_c17480
OCA5_c10070 OCA5_c33070
OCA5_c10220 OCAR_7075
OCA5_c10290 OCA5_c10300
OCA5_c10290 OCAR_7063
OCA5_c10300 OCA5_c10290
OCA5_c10310 OCAR_4453
OCA5_c10320 OCA5_c13940
OCA5_c10320 OCA5_c13950
OCA5_c10460 OCA5_c25440
OCA5_c10620 OCA5_c26330
OCA5_c10620 OCA5_c21520
OCA5_c10710 OCA5_c07290
OCA5_c10710 OCA5_c33730
OCA5_c10900 OCA5_c02010
OCA5_c10900 OCA5_c09750
OCA5_c10920 OCA5_c09750
OCA5_c10940 OCA5_c17840
OCA5_c10940 OCA5_c26860
OCA5_c10940 OCA5_c07720
OCA5_c10940 OCA5_c19820
OCA5_c10940 OCA5_c32630
OCA5_c10940 OCAR_4684
OCA5_c10940 OCA5_c09640
OCA5_c10940 OCAR_7138
OCA5_c10940 OCA5_c32590
OCA5_c10940 OCA5_c17230
OCA5_c10940 OCA5_c07730
OCA5_c10940 OCA5_c26870
OCA5_c10940 OCA5_c20890
OCA5_c10940 OCA5_c07740
OCA5_c10940 OCA5_c09650
OCA5_c10940 OCA5_c09630
OCA5_c10940 OCA5_c07710
OCA5_c11190 OCA5_c01240
OCA5_c11290 OCA5_c08570
OCA5_c11410 OCA5_c09360
