ENSGGOP00000000019 ENSGGOP00000022879
ENSGGOP00000000019 ENSGGOP00000012531
ENSGGOP00000000019 ENSGGOP00000018482
ENSGGOP00000000019 ENSGGOP00000009368
ENSGGOP00000000019 ENSGGOP00000024544
ENSGGOP00000000019 ENSGGOP00000012094
ENSGGOP00000000019 ENSGGOP00000012526
ENSGGOP00000000019 ENSGGOP00000015104
ENSGGOP00000000019 ENSGGOP00000019791
ENSGGOP00000000019 ENSGGOP00000010358
ENSGGOP00000000019 ENSGGOP00000019086
ENSGGOP00000000019 ENSGGOP00000009158
ENSGGOP00000000019 ENSGGOP00000009844
ENSGGOP00000000019 ENSGGOP00000007098
ENSGGOP00000000019 ENSGGOP00000000824
ENSGGOP00000000019 ENSGGOP00000005990
ENSGGOP00000000019 ENSGGOP00000015071
ENSGGOP00000000019 ENSGGOP00000018071
ENSGGOP00000000019 ENSGGOP00000023989
ENSGGOP00000000019 ENSGGOP00000010158
ENSGGOP00000000022 ENSGGOP00000009308
ENSGGOP00000000022 ENSGGOP00000007656
ENSGGOP00000000022 ENSGGOP00000004075
ENSGGOP00000000022 ENSGGOP00000006652
ENSGGOP00000000022 ENSGGOP00000005989
ENSGGOP00000000022 ENSGGOP00000007587
ENSGGOP00000000022 ENSGGOP00000012782
ENSGGOP00000000022 ENSGGOP00000000711
ENSGGOP00000000022 ENSGGOP00000022673
ENSGGOP00000000022 ENSGGOP00000017933
ENSGGOP00000000022 ENSGGOP00000021868
ENSGGOP00000000022 ENSGGOP00000005923
ENSGGOP00000000022 ENSGGOP00000001271
ENSGGOP00000000022 ENSGGOP00000009194
ENSGGOP00000000022 ENSGGOP00000015038
ENSGGOP00000000022 ENSGGOP00000000839
ENSGGOP00000000022 ENSGGOP00000003107
ENSGGOP00000000022 ENSGGOP00000011085
ENSGGOP00000000022 ENSGGOP00000012548
ENSGGOP00000000022 ENSGGOP00000012737
ENSGGOP00000000022 ENSGGOP00000023681
ENSGGOP00000000022 ENSGGOP00000004877
ENSGGOP00000000022 ENSGGOP00000014812
ENSGGOP00000000022 ENSGGOP00000013236
ENSGGOP00000000022 ENSGGOP00000017850
ENSGGOP00000000029 ENSGGOP00000007832
ENSGGOP00000000029 ENSGGOP00000028562
ENSGGOP00000000029 ENSGGOP00000011384
ENSGGOP00000000029 ENSGGOP00000021901
ENSGGOP00000000029 ENSGGOP00000028100
ENSGGOP00000000030 ENSGGOP00000022146
ENSGGOP00000000045 ENSGGOP00000000659
ENSGGOP00000000045 ENSGGOP00000005958
ENSGGOP00000000056 ENSGGOP00000000201
ENSGGOP00000000056 ENSGGOP00000006562
ENSGGOP00000000056 ENSGGOP00000005267
ENSGGOP00000000056 ENSGGOP00000004886
ENSGGOP00000000056 ENSGGOP00000007516
ENSGGOP00000000056 ENSGGOP00000011829
ENSGGOP00000000056 ENSGGOP00000016385
ENSGGOP00000000056 ENSGGOP00000009867
ENSGGOP00000000056 ENSGGOP00000012945
ENSGGOP00000000056 ENSGGOP00000012561
ENSGGOP00000000056 ENSGGOP00000000064
ENSGGOP00000000056 ENSGGOP00000001063
ENSGGOP00000000056 ENSGGOP00000007815
ENSGGOP00000000056 ENSGGOP00000012427
ENSGGOP00000000056 ENSGGOP00000001265
ENSGGOP00000000056 ENSGGOP00000010403
ENSGGOP00000000056 ENSGGOP00000013511
ENSGGOP00000000056 ENSGGOP00000016197
ENSGGOP00000000056 ENSGGOP00000008735
ENSGGOP00000000056 ENSGGOP00000010032
ENSGGOP00000000056 ENSGGOP00000000627
ENSGGOP00000000056 ENSGGOP00000023036
ENSGGOP00000000056 ENSGGOP00000004963
ENSGGOP00000000056 ENSGGOP00000017524
ENSGGOP00000000056 ENSGGOP00000003127
ENSGGOP00000000056 ENSGGOP00000006792
ENSGGOP00000000056 ENSGGOP00000010254
ENSGGOP00000000056 ENSGGOP00000006558
ENSGGOP00000000056 ENSGGOP00000023845
ENSGGOP00000000056 ENSGGOP00000007822
ENSGGOP00000000056 ENSGGOP00000019635
ENSGGOP00000000056 ENSGGOP00000002041
ENSGGOP00000000056 ENSGGOP00000011583
ENSGGOP00000000056 ENSGGOP00000023430
ENSGGOP00000000056 ENSGGOP00000004896
ENSGGOP00000000056 ENSGGOP00000006632
ENSGGOP00000000056 ENSGGOP00000028566
ENSGGOP00000000056 ENSGGOP00000008527
ENSGGOP00000000056 ENSGGOP00000018962
ENSGGOP00000000056 ENSGGOP00000025209
ENSGGOP00000000059 ENSGGOP00000015061
ENSGGOP00000000059 ENSGGOP00000010812
ENSGGOP00000000059 ENSGGOP00000004661
ENSGGOP00000000059 ENSGGOP00000011165
ENSGGOP00000000059 ENSGGOP00000002131
ENSGGOP00000000063 ENSGGOP00000004652
ENSGGOP00000000064 ENSGGOP00000017627
ENSGGOP00000000064 ENSGGOP00000012654
ENSGGOP00000000064 ENSGGOP00000016385
ENSGGOP00000000064 ENSGGOP00000007516
ENSGGOP00000000064 ENSGGOP00000009867
ENSGGOP00000000064 ENSGGOP00000028182
ENSGGOP00000000064 ENSGGOP00000011355
ENSGGOP00000000064 ENSGGOP00000016197
ENSGGOP00000000064 ENSGGOP00000009983
ENSGGOP00000000064 ENSGGOP00000006955
ENSGGOP00000000064 ENSGGOP00000005549
ENSGGOP00000000064 ENSGGOP00000023036
ENSGGOP00000000064 ENSGGOP00000010831
ENSGGOP00000000064 ENSGGOP00000019437
ENSGGOP00000000064 ENSGGOP00000002041
ENSGGOP00000000064 ENSGGOP00000002510
ENSGGOP00000000064 ENSGGOP00000015911
ENSGGOP00000000064 ENSGGOP00000023430
ENSGGOP00000000064 ENSGGOP00000000886
ENSGGOP00000000064 ENSGGOP00000004896
ENSGGOP00000000064 ENSGGOP00000006632
ENSGGOP00000000064 ENSGGOP00000005648
ENSGGOP00000000064 ENSGGOP00000000056
ENSGGOP00000000064 ENSGGOP00000007497
ENSGGOP00000000064 ENSGGOP00000004785
ENSGGOP00000000068 ENSGGOP00000006630
ENSGGOP00000000068 ENSGGOP00000018920
ENSGGOP00000000068 ENSGGOP00000015749
ENSGGOP00000000068 ENSGGOP00000021161
ENSGGOP00000000068 ENSGGOP00000013673
ENSGGOP00000000068 ENSGGOP00000024466
ENSGGOP00000000068 ENSGGOP00000016124
ENSGGOP00000000068 ENSGGOP00000006851
ENSGGOP00000000068 ENSGGOP00000014826
ENSGGOP00000000068 ENSGGOP00000003845
ENSGGOP00000000068 ENSGGOP00000027189
ENSGGOP00000000068 ENSGGOP00000014277
ENSGGOP00000000068 ENSGGOP00000023723
ENSGGOP00000000068 ENSGGOP00000006930
ENSGGOP00000000068 ENSGGOP00000010467
ENSGGOP00000000068 ENSGGOP00000006642
ENSGGOP00000000068 ENSGGOP00000006726
ENSGGOP00000000068 ENSGGOP00000004641
ENSGGOP00000000068 ENSGGOP00000002464
ENSGGOP00000000068 ENSGGOP00000002293
ENSGGOP00000000068 ENSGGOP00000008185
ENSGGOP00000000068 ENSGGOP00000024660
ENSGGOP00000000068 ENSGGOP00000014117
ENSGGOP00000000068 ENSGGOP00000004924
ENSGGOP00000000068 ENSGGOP00000017171
ENSGGOP00000000068 ENSGGOP00000013001
ENSGGOP00000000068 ENSGGOP00000005286
ENSGGOP00000000068 ENSGGOP00000015164
ENSGGOP00000000068 ENSGGOP00000009886
ENSGGOP00000000068 ENSGGOP00000028647
ENSGGOP00000000068 ENSGGOP00000014144
ENSGGOP00000000068 ENSGGOP00000020380
ENSGGOP00000000068 ENSGGOP00000005938
ENSGGOP00000000068 ENSGGOP00000022690
ENSGGOP00000000068 ENSGGOP00000013470
ENSGGOP00000000068 ENSGGOP00000000933
ENSGGOP00000000068 ENSGGOP00000023508
ENSGGOP00000000068 ENSGGOP00000006094
ENSGGOP00000000068 ENSGGOP00000013370
ENSGGOP00000000068 ENSGGOP00000014620
ENSGGOP00000000068 ENSGGOP00000012324
ENSGGOP00000000068 ENSGGOP00000006828
ENSGGOP00000000068 ENSGGOP00000005236
ENSGGOP00000000068 ENSGGOP00000008260
ENSGGOP00000000068 ENSGGOP00000011423
ENSGGOP00000000068 ENSGGOP00000005211
ENSGGOP00000000068 ENSGGOP00000024868
ENSGGOP00000000068 ENSGGOP00000014747
ENSGGOP00000000068 ENSGGOP00000000884
ENSGGOP00000000068 ENSGGOP00000000713
ENSGGOP00000000068 ENSGGOP00000024116
ENSGGOP00000000069 ENSGGOP00000013675
ENSGGOP00000000069 ENSGGOP00000012966
ENSGGOP00000000069 ENSGGOP00000004664
ENSGGOP00000000069 ENSGGOP00000025699
ENSGGOP00000000069 ENSGGOP00000006668
ENSGGOP00000000069 ENSGGOP00000005355
ENSGGOP00000000069 ENSGGOP00000000165
ENSGGOP00000000069 ENSGGOP00000009478
ENSGGOP00000000069 ENSGGOP00000015649
ENSGGOP00000000069 ENSGGOP00000011022
ENSGGOP00000000070 ENSGGOP00000014241
ENSGGOP00000000073 ENSGGOP00000011022
ENSGGOP00000000073 ENSGGOP00000012888
ENSGGOP00000000073 ENSGGOP00000015812
ENSGGOP00000000073 ENSGGOP00000003175
ENSGGOP00000000073 ENSGGOP00000006285
ENSGGOP00000000073 ENSGGOP00000005285
ENSGGOP00000000073 ENSGGOP00000028540
ENSGGOP00000000073 ENSGGOP00000001546
ENSGGOP00000000073 ENSGGOP00000024425
ENSGGOP00000000073 ENSGGOP00000005642
ENSGGOP00000000073 ENSGGOP00000004664
ENSGGOP00000000073 ENSGGOP00000000210
ENSGGOP00000000073 ENSGGOP00000004488
ENSGGOP00000000073 ENSGGOP00000027798
ENSGGOP00000000073 ENSGGOP00000005652
ENSGGOP00000000073 ENSGGOP00000025699
ENSGGOP00000000073 ENSGGOP00000024260
ENSGGOP00000000073 ENSGGOP00000005677
ENSGGOP00000000073 ENSGGOP00000007214
ENSGGOP00000000073 ENSGGOP00000006624
ENSGGOP00000000073 ENSGGOP00000020779
ENSGGOP00000000073 ENSGGOP00000004460
ENSGGOP00000000073 ENSGGOP00000012966
ENSGGOP00000000073 ENSGGOP00000007277
ENSGGOP00000000073 ENSGGOP00000002258
ENSGGOP00000000073 ENSGGOP00000005955
ENSGGOP00000000073 ENSGGOP00000016431
ENSGGOP00000000073 ENSGGOP00000010267
ENSGGOP00000000075 ENSGGOP00000022719
ENSGGOP00000000075 ENSGGOP00000005553
ENSGGOP00000000075 ENSGGOP00000005908
ENSGGOP00000000075 ENSGGOP00000023399
ENSGGOP00000000075 ENSGGOP00000001345
ENSGGOP00000000075 ENSGGOP00000014951
ENSGGOP00000000075 ENSGGOP00000006682
ENSGGOP00000000075 ENSGGOP00000005896
ENSGGOP00000000075 ENSGGOP00000001636
ENSGGOP00000000075 ENSGGOP00000017363
ENSGGOP00000000075 ENSGGOP00000022084
ENSGGOP00000000075 ENSGGOP00000011772
ENSGGOP00000000075 ENSGGOP00000021858
ENSGGOP00000000075 ENSGGOP00000004793
ENSGGOP00000000075 ENSGGOP00000021809
ENSGGOP00000000075 ENSGGOP00000004605
ENSGGOP00000000075 ENSGGOP00000007015
ENSGGOP00000000075 ENSGGOP00000015372
ENSGGOP00000000075 ENSGGOP00000025105
ENSGGOP00000000075 ENSGGOP00000001031
ENSGGOP00000000075 ENSGGOP00000016838
ENSGGOP00000000075 ENSGGOP00000018546
ENSGGOP00000000075 ENSGGOP00000004224
ENSGGOP00000000075 ENSGGOP00000007011
ENSGGOP00000000075 ENSGGOP00000023086
ENSGGOP00000000075 ENSGGOP00000005613
ENSGGOP00000000075 ENSGGOP00000017003
ENSGGOP00000000075 ENSGGOP00000011003
ENSGGOP00000000075 ENSGGOP00000027509
ENSGGOP00000000075 ENSGGOP00000020130
ENSGGOP00000000075 ENSGGOP00000001029
ENSGGOP00000000075 ENSGGOP00000023807
ENSGGOP00000000075 ENSGGOP00000013773
ENSGGOP00000000075 ENSGGOP00000015901
ENSGGOP00000000075 ENSGGOP00000000941
ENSGGOP00000000075 ENSGGOP00000004332
ENSGGOP00000000075 ENSGGOP00000007096
ENSGGOP00000000075 ENSGGOP00000028582
ENSGGOP00000000075 ENSGGOP00000028083
ENSGGOP00000000075 ENSGGOP00000027397
ENSGGOP00000000075 ENSGGOP00000014100
ENSGGOP00000000075 ENSGGOP00000028567
ENSGGOP00000000075 ENSGGOP00000013944
ENSGGOP00000000075 ENSGGOP00000000107
ENSGGOP00000000075 ENSGGOP00000008749
ENSGGOP00000000075 ENSGGOP00000016069
ENSGGOP00000000075 ENSGGOP00000012944
ENSGGOP00000000075 ENSGGOP00000004948
ENSGGOP00000000075 ENSGGOP00000000467
ENSGGOP00000000075 ENSGGOP00000018411
