BATR1942_00785 BATR1942_10465
BATR1942_00785 BATR1942_00745
BATR1942_00785 BATR1942_16410
BATR1942_00785 BATR1942_18655
BATR1942_00785 BATR1942_15340
BATR1942_00790 BATR1942_00780
BATR1942_00790 BATR1942_19755
BATR1942_00790 BATR1942_00770
BATR1942_00810 BATR1942_18950
BATR1942_00810 BATR1942_14145
BATR1942_00810 BATR1942_10025
BATR1942_00810 BATR1942_11535
BATR1942_00810 BATR1942_08510
BATR1942_00835 BATR1942_14680
BATR1942_00835 BATR1942_03565
BATR1942_00870 BATR1942_09040
BATR1942_00870 BATR1942_12175
BATR1942_00870 BATR1942_19070
BATR1942_00870 BATR1942_00880
BATR1942_00870 BATR1942_00875
BATR1942_00875 BATR1942_19070
BATR1942_00875 BATR1942_00870
BATR1942_00875 BATR1942_00880
BATR1942_00875 BATR1942_09040
BATR1942_00875 BATR1942_12175
BATR1942_00880 BATR1942_09040
BATR1942_00880 BATR1942_12175
BATR1942_00880 BATR1942_19070
BATR1942_00880 BATR1942_00870
BATR1942_00880 BATR1942_00875
BATR1942_00895 BATR1942_02390
BATR1942_00895 BATR1942_08750
BATR1942_00895 BATR1942_09285
BATR1942_00895 BATR1942_12140
BATR1942_00895 BATR1942_02250
BATR1942_00895 BATR1942_06070
BATR1942_00895 BATR1942_08810
BATR1942_00895 BATR1942_20000
BATR1942_00920 BATR1942_12440
BATR1942_00920 BATR1942_03505
BATR1942_00920 BATR1942_01895
BATR1942_00920 BATR1942_05750
BATR1942_00920 BATR1942_16105
BATR1942_00920 BATR1942_06240
BATR1942_00920 BATR1942_08135
BATR1942_00920 BATR1942_00935
BATR1942_00925 BATR1942_08135
BATR1942_00925 BATR1942_12440
BATR1942_00925 BATR1942_03505
BATR1942_00925 BATR1942_05750
BATR1942_00925 BATR1942_01895
BATR1942_00925 BATR1942_03295
BATR1942_00925 BATR1942_00930
BATR1942_00925 BATR1942_13990
BATR1942_00925 BATR1942_06240
BATR1942_00925 BATR1942_07360
BATR1942_00925 BATR1942_03300
BATR1942_00925 BATR1942_05745
BATR1942_00925 BATR1942_00935
BATR1942_00925 BATR1942_02710
BATR1942_00930 BATR1942_08135
BATR1942_00930 BATR1942_00925
BATR1942_00930 BATR1942_03505
BATR1942_00930 BATR1942_05750
BATR1942_00930 BATR1942_12440
BATR1942_00930 BATR1942_01895
BATR1942_00930 BATR1942_03295
BATR1942_00930 BATR1942_13990
BATR1942_00930 BATR1942_06240
BATR1942_00930 BATR1942_07360
BATR1942_00930 BATR1942_03300
BATR1942_00930 BATR1942_05745
BATR1942_00930 BATR1942_00935
BATR1942_00930 BATR1942_02710
BATR1942_00935 BATR1942_00920
BATR1942_00935 BATR1942_03300
BATR1942_00935 BATR1942_00925
BATR1942_00935 BATR1942_16105
BATR1942_00935 BATR1942_03295
BATR1942_00935 BATR1942_00930
BATR1942_00935 BATR1942_02710
BATR1942_01060 BATR1942_01065
BATR1942_01065 BATR1942_01060
BATR1942_01110 BATR1942_01115
BATR1942_01115 BATR1942_01110
BATR1942_01115 BATR1942_12850
BATR1942_01125 BATR1942_10740
BATR1942_01125 BATR1942_07235
BATR1942_01125 BATR1942_01150
BATR1942_01135 BATR1942_12875
BATR1942_01135 BATR1942_01145
BATR1942_01135 BATR1942_01140
BATR1942_01135 BATR1942_12855
BATR1942_01135 BATR1942_12870
BATR1942_01140 BATR1942_12870
BATR1942_01140 BATR1942_01145
BATR1942_01140 BATR1942_12875
BATR1942_01140 BATR1942_12855
