XP_001535741.1 XP_001535985.1
XP_001535785.1 XP_001544169.1
XP_001535785.1 XP_001538129.1
XP_001535785.1 XP_001543340.1
XP_001535785.1 XP_001542628.1
XP_001535785.1 XP_001539399.1
XP_001535785.1 XP_001541442.1
XP_001535785.1 XP_001543311.1
XP_001535785.1 XP_001543986.1
XP_001535785.1 XP_001543987.1
XP_001535785.1 XP_001536860.1
XP_001535822.1 XP_001540954.1
XP_001535822.1 XP_001544960.1
XP_001535822.1 XP_001540951.1
XP_001535822.1 XP_001543492.1
XP_001535822.1 XP_001542433.1
XP_001535822.1 XP_001540170.1
XP_001535822.1 XP_001543498.1
XP_001535822.1 XP_001538805.1
XP_001535822.1 XP_001535964.1
XP_001535822.1 XP_001537472.1
XP_001535822.1 XP_001542932.1
XP_001535877.1 XP_001537189.1
XP_001535877.1 XP_001538591.1
XP_001535877.1 XP_001542056.1
XP_001535877.1 XP_001535949.1
XP_001535892.1 XP_001542410.1
XP_001535949.1 XP_001535877.1
XP_001535949.1 XP_001538054.1
XP_001535964.1 XP_001535822.1
XP_001535964.1 XP_001543498.1
XP_001535964.1 XP_001537472.1
XP_001535964.1 XP_001542932.1
XP_001535964.1 XP_001540954.1
XP_001535964.1 XP_001536730.1
XP_001535964.1 XP_001544386.1
XP_001535964.1 XP_001540951.1
XP_001535964.1 XP_001541941.1
XP_001535964.1 XP_001542433.1
XP_001535964.1 XP_001544831.1
XP_001535964.1 XP_001540170.1
XP_001535967.1 XP_001544528.1
XP_001535967.1 XP_001540777.1
XP_001535980.1 XP_001537583.1
XP_001535982.1 XP_001537950.1
XP_001535985.1 XP_001535741.1
XP_001536000.1 XP_001538572.1
XP_001536000.1 XP_001542184.1
XP_001536000.1 XP_001542048.1
XP_001536000.1 XP_001541141.1
XP_001536000.1 XP_001544074.1
XP_001536000.1 XP_001537924.1
XP_001536000.1 XP_001539519.1
XP_001536000.1 XP_001539941.1
XP_001536000.1 XP_001537996.1
XP_001536000.1 XP_001544321.1
XP_001536000.1 XP_001541445.1
XP_001536000.1 XP_001543946.1
XP_001536014.1 XP_001542282.1
XP_001536014.1 XP_001542848.1
XP_001536014.1 XP_001543684.1
XP_001536014.1 XP_001537539.1
XP_001536014.1 XP_001536065.1
XP_001536014.1 XP_001537294.1
XP_001536014.1 XP_001542049.1
XP_001536014.1 XP_001541364.1
XP_001536049.1 XP_001544074.1
XP_001536049.1 XP_001541358.1
XP_001536049.1 XP_001544350.1
XP_001536049.1 XP_001537535.1
XP_001536049.1 XP_001540184.1
XP_001536049.1 XP_001541954.1
XP_001536049.1 XP_001544872.1
XP_001536049.1 XP_001536357.1
XP_001536049.1 XP_001539896.1
XP_001536049.1 XP_001536341.1
XP_001536049.1 XP_001536161.1
XP_001536049.1 XP_001538572.1
XP_001536049.1 XP_001541552.1
XP_001536049.1 XP_001541802.1
XP_001536049.1 XP_001538060.1
XP_001536049.1 XP_001541141.1
XP_001536049.1 XP_001537262.1
XP_001536049.1 XP_001538827.1
XP_001536049.1 XP_001538013.1
XP_001536049.1 XP_001538042.1
XP_001536049.1 XP_001541653.1
XP_001536049.1 XP_001539603.1
XP_001536049.1 XP_001543264.1
XP_001536049.1 XP_001536585.1
XP_001536049.1 XP_001544733.1
XP_001536049.1 XP_001539571.1
XP_001536049.1 XP_001537606.1
XP_001536049.1 XP_001538497.1
XP_001536049.1 XP_001538980.1
XP_001536054.1 XP_001544768.1
XP_001536054.1 XP_001541740.1
XP_001536054.1 XP_001543705.1
XP_001536064.1 XP_001538203.1
XP_001536065.1 XP_001540333.1
XP_001536065.1 XP_001542437.1
XP_001536065.1 XP_001542848.1
XP_001536065.1 XP_001537539.1
XP_001536065.1 XP_001540687.1
XP_001536065.1 XP_001536905.1
XP_001536065.1 XP_001541472.1
XP_001536065.1 XP_001537294.1
XP_001536065.1 XP_001536014.1
XP_001536068.1 XP_001542160.1
XP_001536069.1 XP_001542940.1
XP_001536069.1 XP_001539597.1
XP_001536069.1 XP_001539251.1
XP_001536069.1 XP_001542449.1
XP_001536069.1 XP_001539942.1
XP_001536069.1 XP_001536929.1
XP_001536071.1 XP_001538348.1
XP_001536071.1 XP_001538648.1
XP_001536071.1 XP_001537769.1
XP_001536071.1 XP_001544817.1
XP_001536071.1 XP_001538044.1
XP_001536071.1 XP_001540402.1
XP_001536071.1 XP_001536225.1
XP_001536071.1 XP_001542359.1
XP_001536071.1 XP_001537879.1
XP_001536091.1 XP_001537909.1
XP_001536091.1 XP_001537328.1
XP_001536091.1 XP_001537873.1
XP_001536091.1 XP_001537908.1
XP_001536091.1 XP_001537327.1
XP_001536103.1 XP_001540949.1
XP_001536103.1 XP_001541000.1
XP_001536103.1 XP_001539977.1
XP_001536103.1 XP_001544557.1
XP_001536103.1 XP_001539785.1
XP_001536103.1 XP_001544977.1
XP_001536103.1 XP_001541666.1
XP_001536110.1 XP_001541442.1
XP_001536110.1 XP_001541239.1
XP_001536110.1 XP_001540402.1
XP_001536110.1 XP_001536225.1
XP_001536110.1 XP_001538228.1
XP_001536110.1 XP_001544074.1
XP_001536110.1 XP_001542968.1
XP_001536110.1 XP_001542539.1
XP_001536110.1 XP_001541205.1
XP_001536110.1 XP_001541902.1
XP_001536110.1 XP_001538648.1
XP_001536110.1 XP_001538156.1
XP_001536110.1 XP_001540737.1
XP_001536111.1 XP_001542592.1
XP_001536111.1 XP_001541248.1
XP_001536120.1 XP_001541971.1
XP_001536120.1 XP_001540151.1
XP_001536120.1 XP_001540030.1
XP_001536120.1 XP_001542299.1
XP_001536120.1 XP_001544742.1
XP_001536120.1 XP_001544750.1
XP_001536124.1 XP_001543002.1
XP_001536137.1 XP_001540024.1
XP_001536160.1 XP_001539472.1
XP_001536160.1 XP_001541094.1
XP_001536160.1 XP_001536665.1
XP_001536160.1 XP_001537036.1
XP_001536160.1 XP_001544620.1
XP_001536160.1 XP_001543374.1
XP_001536160.1 XP_001543592.1
XP_001536160.1 XP_001537093.1
XP_001536160.1 XP_001540489.1
XP_001536160.1 XP_001536486.1
XP_001536160.1 XP_001542964.1
XP_001536160.1 XP_001539533.1
XP_001536160.1 XP_001541878.1
XP_001536160.1 XP_001538587.1
XP_001536160.1 XP_001539009.1
XP_001536160.1 XP_001541877.1
XP_001536160.1 XP_001536624.1
XP_001536160.1 XP_001540627.1
XP_001536160.1 XP_001544175.1
XP_001536160.1 XP_001539211.1
XP_001536160.1 XP_001541563.1
XP_001536161.1 XP_001538557.1
XP_001536161.1 XP_001541239.1
XP_001536161.1 XP_001537262.1
XP_001536161.1 XP_001537310.1
XP_001536161.1 XP_001537996.1
XP_001536161.1 XP_001539603.1
XP_001536161.1 XP_001544733.1
XP_001536161.1 XP_001539571.1
XP_001536161.1 XP_001538156.1
XP_001536161.1 XP_001541874.1
XP_001536161.1 XP_001542400.1
XP_001536161.1 XP_001537606.1
XP_001536161.1 XP_001536456.1
XP_001536161.1 XP_001538980.1
XP_001536161.1 XP_001544488.1
XP_001536161.1 XP_001541424.1
XP_001536161.1 XP_001541358.1
XP_001536161.1 XP_001544350.1
XP_001536161.1 XP_001540184.1
XP_001536161.1 XP_001539941.1
XP_001536161.1 XP_001544313.1
XP_001536161.1 XP_001536049.1
XP_001536161.1 XP_001544444.1
XP_001536161.1 XP_001536341.1
XP_001536161.1 XP_001541954.1
XP_001536161.1 XP_001541552.1
XP_001536167.1 XP_001536711.1
XP_001536167.1 XP_001539240.1
XP_001536167.1 XP_001540184.1
XP_001536167.1 XP_001537953.1
XP_001536167.1 XP_001539617.1
XP_001536167.1 XP_001539296.1
XP_001536167.1 XP_001541552.1
XP_001536167.1 XP_001537606.1
XP_001536167.1 XP_001541871.1
XP_001536167.1 XP_001539603.1
XP_001536167.1 XP_001538076.1
XP_001536167.1 XP_001540387.1
XP_001536178.1 XP_001540576.1
XP_001536180.1 XP_001538147.1
XP_001536219.1 XP_001540576.1
XP_001536221.1 XP_001543391.1
XP_001536221.1 XP_001540126.1
XP_001536221.1 XP_001541663.1
XP_001536221.1 XP_001539354.1
XP_001536221.1 XP_001538110.1
XP_001536221.1 XP_001544126.1
XP_001536221.1 XP_001540724.1
XP_001536225.1 XP_001540402.1
XP_001536225.1 XP_001541442.1
XP_001536225.1 XP_001538012.1
XP_001536225.1 XP_001536920.1
XP_001536225.1 XP_001540674.1
XP_001536225.1 XP_001541239.1
XP_001536225.1 XP_001542089.1
XP_001536225.1 XP_001536688.1
XP_001536225.1 XP_001539823.1
XP_001536225.1 XP_001536071.1
XP_001536225.1 XP_001541205.1
XP_001536225.1 XP_001539847.1
XP_001536225.1 XP_001542539.1
XP_001536225.1 XP_001541274.1
XP_001536225.1 XP_001539941.1
XP_001536225.1 XP_001537783.1
XP_001536225.1 XP_001537325.1
XP_001536225.1 XP_001538348.1
XP_001536225.1 XP_001543058.1
XP_001536225.1 XP_001543747.1
XP_001536225.1 XP_001538557.1
XP_001536225.1 XP_001544251.1
XP_001536225.1 XP_001537996.1
XP_001536225.1 XP_001540098.1
XP_001536225.1 XP_001538156.1
XP_001536225.1 XP_001538648.1
XP_001536225.1 XP_001540117.1
XP_001536225.1 XP_001536110.1
XP_001536225.1 XP_001541951.1
XP_001536226.1 XP_001541902.1
XP_001536226.1 XP_001540737.1
XP_001536226.1 XP_001540117.1
XP_001536226.1 XP_001543058.1
XP_001536231.1 XP_001543441.1
XP_001536231.1 XP_001537472.1
XP_001536231.1 XP_001542005.1
XP_001536231.1 XP_001543498.1
XP_001536231.1 XP_001536651.1
XP_001536231.1 XP_001542933.1
XP_001536231.1 XP_001536652.1
XP_001536231.1 XP_001542816.1
XP_001536233.1 XP_001543363.1
XP_001536233.1 XP_001543381.1
XP_001536233.1 XP_001541612.1
XP_001536233.1 XP_001543364.1
XP_001536233.1 XP_001539471.1
XP_001536233.1 XP_001544227.1
XP_001536233.1 XP_001544131.1
XP_001536233.1 XP_001536859.1
XP_001536233.1 XP_001542206.1
XP_001536233.1 XP_001537914.1
XP_001536233.1 XP_001542090.1
XP_001536233.1 XP_001539080.1
XP_001536233.1 XP_001542104.1
XP_001536244.1 XP_001542282.1
XP_001536300.1 XP_001537908.1
XP_001536300.1 XP_001539467.1
XP_001536300.1 XP_001536483.1
XP_001536300.1 XP_001537005.1
XP_001536300.1 XP_001544247.1
XP_001536300.1 XP_001536728.1
XP_001536300.1 XP_001539623.1
XP_001536300.1 XP_001541874.1
XP_001536300.1 XP_001539617.1
XP_001536300.1 XP_001539376.1
XP_001536300.1 XP_001541424.1
XP_001536300.1 XP_001538454.1
XP_001536300.1 XP_001543426.1
XP_001536300.1 XP_001543768.1
XP_001536300.1 XP_001537909.1
XP_001536300.1 XP_001544699.1
XP_001536300.1 XP_001536766.1
XP_001536300.1 XP_001538133.1
XP_001536300.1 XP_001538493.1
XP_001536300.1 XP_001539844.1
XP_001536300.1 XP_001541705.1
XP_001536300.1 XP_001544549.1
XP_001536300.1 XP_001544559.1
XP_001536300.1 XP_001537388.1
XP_001536300.1 XP_001538536.1
XP_001536300.1 XP_001537416.1
XP_001536300.1 XP_001539466.1
XP_001536303.1 XP_001537392.1
XP_001536303.1 XP_001540081.1
XP_001536303.1 XP_001544505.1
XP_001536303.1 XP_001538106.1
XP_001536303.1 XP_001543068.1
XP_001536303.1 XP_001543272.1
XP_001536303.1 XP_001540917.1
XP_001536303.1 XP_001537632.1
XP_001536308.1 XP_001543565.1
XP_001536308.1 XP_001537377.1
XP_001536317.1 XP_001540583.1
XP_001536317.1 XP_001538620.1
XP_001536317.1 XP_001544094.1
XP_001536317.1 XP_001544935.1
XP_001536317.1 XP_001537071.1
XP_001536317.1 XP_001537328.1
XP_001536317.1 XP_001536940.1
XP_001536317.1 XP_001538466.1
XP_001536317.1 XP_001539353.1
XP_001536341.1 XP_001536049.1
XP_001536341.1 XP_001536161.1
XP_001536341.1 XP_001538572.1
XP_001536341.1 XP_001541552.1
XP_001536341.1 XP_001536585.1
XP_001536341.1 XP_001539603.1
XP_001536341.1 XP_001543264.1
XP_001536341.1 XP_001544872.1
XP_001536341.1 XP_001538250.1
XP_001536341.1 XP_001536575.1
XP_001536341.1 XP_001538827.1
XP_001536341.1 XP_001541350.1
XP_001536341.1 XP_001538060.1
XP_001536341.1 XP_001539078.1
XP_001536341.1 XP_001541141.1
XP_001536341.1 XP_001537262.1
XP_001536341.1 XP_001539138.1
XP_001536341.1 XP_001544074.1
XP_001536341.1 XP_001541358.1
XP_001536341.1 XP_001544350.1
XP_001536341.1 XP_001536593.1
XP_001536341.1 XP_001540184.1
XP_001536341.1 XP_001543174.1
XP_001536341.1 XP_001538042.1
XP_001536341.1 XP_001538980.1
XP_001536341.1 XP_001538497.1
XP_001536341.1 XP_001539896.1
XP_001536341.1 XP_001541653.1
XP_001536341.1 XP_001539571.1
XP_001536341.1 XP_001536357.1
XP_001536341.1 XP_001544733.1
XP_001536341.1 XP_001537606.1
XP_001536341.1 XP_001538600.1
XP_001536341.1 XP_001540153.1
XP_001536341.1 XP_001541954.1
XP_001536341.1 XP_001543875.1
XP_001536357.1 XP_001540518.1
XP_001536357.1 XP_001538497.1
XP_001536357.1 XP_001537267.1
XP_001536357.1 XP_001540153.1
XP_001536357.1 XP_001541329.1
XP_001536357.1 XP_001542628.1
XP_001536357.1 XP_001538712.1
XP_001536357.1 XP_001540253.1
XP_001536357.1 XP_001538250.1
XP_001536357.1 XP_001540496.1
XP_001536357.1 XP_001536575.1
XP_001536357.1 XP_001536860.1
XP_001536357.1 XP_001538114.1
XP_001536357.1 XP_001542539.1
XP_001536357.1 XP_001539466.1
XP_001536357.1 XP_001540184.1
XP_001536357.1 XP_001543174.1
XP_001536357.1 XP_001539376.1
XP_001536357.1 XP_001538894.1
XP_001536357.1 XP_001538980.1
XP_001536357.1 XP_001543550.1
XP_001536357.1 XP_001540777.1
XP_001536357.1 XP_001544636.1
XP_001536357.1 XP_001539623.1
XP_001536357.1 XP_001536049.1
XP_001536357.1 XP_001542826.1
XP_001536357.1 XP_001542173.1
XP_001536357.1 XP_001538074.1
XP_001536357.1 XP_001543340.1
XP_001536357.1 XP_001544074.1
XP_001536357.1 XP_001541570.1
XP_001536357.1 XP_001536967.1
XP_001536357.1 XP_001540422.1
XP_001536357.1 XP_001544488.1
XP_001536357.1 XP_001541552.1
XP_001536357.1 XP_001539124.1
XP_001536357.1 XP_001537847.1
XP_001536357.1 XP_001538076.1
XP_001536357.1 XP_001536920.1
XP_001536357.1 XP_001539467.1
XP_001536357.1 XP_001539399.1
XP_001536357.1 XP_001543645.1
XP_001536357.1 XP_001537713.1
XP_001536357.1 XP_001541350.1
XP_001536357.1 XP_001539078.1
XP_001536357.1 XP_001540387.1
XP_001536357.1 XP_001539138.1
XP_001536357.1 XP_001542930.1
XP_001536357.1 XP_001538298.1
XP_001536357.1 XP_001539296.1
XP_001536357.1 XP_001536711.1
XP_001536357.1 XP_001541653.1
XP_001536357.1 XP_001542879.1
XP_001536357.1 XP_001541871.1
XP_001536357.1 XP_001536341.1
XP_001536357.1 XP_001539571.1
XP_001536357.1 XP_001541445.1
XP_001536357.1 XP_001544733.1
XP_001536357.1 XP_001541166.1
XP_001536362.1 XP_001538120.1
XP_001536368.1 XP_001543394.1
XP_001536368.1 XP_001539630.1
XP_001536368.1 XP_001540934.1
XP_001536368.1 XP_001541711.1
XP_001536383.1 XP_001544090.1
XP_001536383.1 XP_001544132.1
XP_001536383.1 XP_001542998.1
XP_001536383.1 XP_001543221.1
XP_001536383.1 XP_001541256.1
XP_001536383.1 XP_001541189.1
XP_001536383.1 XP_001537881.1
XP_001536383.1 XP_001541132.1
XP_001536383.1 XP_001537074.1
XP_001536383.1 XP_001540335.1
XP_001536383.1 XP_001544909.1
XP_001536383.1 XP_001540516.1
XP_001536383.1 XP_001540366.1
XP_001536383.1 XP_001540495.1
XP_001536383.1 XP_001541471.1
XP_001536386.1 XP_001543498.1
XP_001536386.1 XP_001537472.1
XP_001536386.1 XP_001542933.1
XP_001536387.1 XP_001537882.1
XP_001536387.1 XP_001541164.1
XP_001536394.1 XP_001536890.1
XP_001536394.1 XP_001537078.1
XP_001536398.1 XP_001544338.1
XP_001536398.1 XP_001541563.1
XP_001536398.1 XP_001541094.1
XP_001536398.1 XP_001536654.1
XP_001536398.1 XP_001541856.1
XP_001536398.1 XP_001541225.1
XP_001536398.1 XP_001539276.1
XP_001536398.1 XP_001537243.1
XP_001536398.1 XP_001537036.1
XP_001536419.1 XP_001540296.1
XP_001536419.1 XP_001541119.1
XP_001536453.1 XP_001541586.1
XP_001536456.1 XP_001536161.1
XP_001536456.1 XP_001536779.1
XP_001536456.1 XP_001539009.1
XP_001536456.1 XP_001537784.1
XP_001536456.1 XP_001538792.1
XP_001536456.1 XP_001543592.1
XP_001536456.1 XP_001540489.1
XP_001536456.1 XP_001537093.1
XP_001536456.1 XP_001537472.1
XP_001536456.1 XP_001544313.1
XP_001536456.1 XP_001539533.1
XP_001536456.1 XP_001537310.1
XP_001536456.1 XP_001544175.1
XP_001536456.1 XP_001536585.1
XP_001536456.1 XP_001541874.1
XP_001536456.1 XP_001538600.1
XP_001536456.1 XP_001542400.1
XP_001536456.1 XP_001542964.1
XP_001536475.1 XP_001537472.1
XP_001536475.1 XP_001542933.1
XP_001536475.1 XP_001542816.1
XP_001536475.1 XP_001536651.1
XP_001536475.1 XP_001536652.1
XP_001536475.1 XP_001543498.1
XP_001536475.1 XP_001542005.1
XP_001536475.1 XP_001543441.1
XP_001536476.1 XP_001541523.1
XP_001536476.1 XP_001539720.1
XP_001536479.1 XP_001540467.1
XP_001536483.1 XP_001542983.1
XP_001536483.1 XP_001536300.1
XP_001536483.1 XP_001541424.1
XP_001536483.1 XP_001539844.1
XP_001536483.1 XP_001541705.1
XP_001536483.1 XP_001544247.1
XP_001536483.1 XP_001537005.1
XP_001536483.1 XP_001540648.1
XP_001536483.1 XP_001544549.1
XP_001536483.1 XP_001541874.1
XP_001536483.1 XP_001537388.1
XP_001536483.1 XP_001539623.1
XP_001536483.1 XP_001537416.1
XP_001536483.1 XP_001543426.1
XP_001536483.1 XP_001539376.1
XP_001536483.1 XP_001543768.1
XP_001536483.1 XP_001536766.1
XP_001536483.1 XP_001538133.1
XP_001536483.1 XP_001539466.1
XP_001536483.1 XP_001544699.1
XP_001536483.1 XP_001539467.1
XP_001536486.1 XP_001543374.1
XP_001536486.1 XP_001544620.1
