ENSPTRP00000000218 ENSPTRP00000007822
ENSPTRP00000000218 ENSPTRP00000014708
ENSPTRP00000000218 ENSPTRP00000038687
ENSPTRP00000000218 ENSPTRP00000008129
ENSPTRP00000000218 ENSPTRP00000005959
ENSPTRP00000000218 ENSPTRP00000015754
ENSPTRP00000000218 ENSPTRP00000056053
ENSPTRP00000000218 ENSPTRP00000020771
ENSPTRP00000000218 ENSPTRP00000005960
ENSPTRP00000000218 ENSPTRP00000015230
ENSPTRP00000000218 ENSPTRP00000055755
ENSPTRP00000000218 ENSPTRP00000057240
ENSPTRP00000000218 ENSPTRP00000033781
ENSPTRP00000000218 ENSPTRP00000004445
ENSPTRP00000000218 ENSPTRP00000043906
ENSPTRP00000000218 ENSPTRP00000004739
ENSPTRP00000000218 ENSPTRP00000060183
ENSPTRP00000000218 ENSPTRP00000001415
ENSPTRP00000000218 ENSPTRP00000012181
ENSPTRP00000000218 ENSPTRP00000036234
ENSPTRP00000000218 ENSPTRP00000027992
ENSPTRP00000000218 ENSPTRP00000004915
ENSPTRP00000000218 ENSPTRP00000049258
ENSPTRP00000000218 ENSPTRP00000026010
ENSPTRP00000000218 ENSPTRP00000044721
ENSPTRP00000000218 ENSPTRP00000030009
ENSPTRP00000000218 ENSPTRP00000000207
ENSPTRP00000000218 ENSPTRP00000021539
ENSPTRP00000000218 ENSPTRP00000012409
ENSPTRP00000000218 ENSPTRP00000018570
ENSPTRP00000000218 ENSPTRP00000043519
ENSPTRP00000000229 ENSPTRP00000021008
ENSPTRP00000000229 ENSPTRP00000026612
ENSPTRP00000000229 ENSPTRP00000017459
ENSPTRP00000000229 ENSPTRP00000049016
ENSPTRP00000000229 ENSPTRP00000040371
ENSPTRP00000000229 ENSPTRP00000045665
ENSPTRP00000000229 ENSPTRP00000025802
ENSPTRP00000000229 ENSPTRP00000023178
ENSPTRP00000000229 ENSPTRP00000029829
ENSPTRP00000000229 ENSPTRP00000060750
ENSPTRP00000000229 ENSPTRP00000027639
ENSPTRP00000000229 ENSPTRP00000046677
ENSPTRP00000000229 ENSPTRP00000021603
ENSPTRP00000000229 ENSPTRP00000000369
ENSPTRP00000000229 ENSPTRP00000011569
ENSPTRP00000000229 ENSPTRP00000002493
ENSPTRP00000000229 ENSPTRP00000028277
ENSPTRP00000000229 ENSPTRP00000022925
ENSPTRP00000000229 ENSPTRP00000001425
ENSPTRP00000000229 ENSPTRP00000020368
ENSPTRP00000000229 ENSPTRP00000026868
ENSPTRP00000000229 ENSPTRP00000043196
ENSPTRP00000000229 ENSPTRP00000006503
ENSPTRP00000000229 ENSPTRP00000051483
ENSPTRP00000000229 ENSPTRP00000039260
ENSPTRP00000000229 ENSPTRP00000061336
ENSPTRP00000000229 ENSPTRP00000011810
ENSPTRP00000000229 ENSPTRP00000012792
ENSPTRP00000000229 ENSPTRP00000029009
ENSPTRP00000000229 ENSPTRP00000009777
ENSPTRP00000000229 ENSPTRP00000038032
ENSPTRP00000000229 ENSPTRP00000056922
ENSPTRP00000000229 ENSPTRP00000036949
ENSPTRP00000000229 ENSPTRP00000023386
ENSPTRP00000000229 ENSPTRP00000033202
ENSPTRP00000000229 ENSPTRP00000027599
ENSPTRP00000000229 ENSPTRP00000007497
ENSPTRP00000000229 ENSPTRP00000019408
ENSPTRP00000000229 ENSPTRP00000010246
ENSPTRP00000000229 ENSPTRP00000038897
ENSPTRP00000000229 ENSPTRP00000018245
ENSPTRP00000000229 ENSPTRP00000019088
ENSPTRP00000000229 ENSPTRP00000014908
ENSPTRP00000000229 ENSPTRP00000031984
ENSPTRP00000000229 ENSPTRP00000054166
ENSPTRP00000000229 ENSPTRP00000000280
ENSPTRP00000000229 ENSPTRP00000044953
ENSPTRP00000000229 ENSPTRP00000051638
ENSPTRP00000000229 ENSPTRP00000005773
ENSPTRP00000000229 ENSPTRP00000000548
ENSPTRP00000000229 ENSPTRP00000023836
ENSPTRP00000000229 ENSPTRP00000055015
ENSPTRP00000000229 ENSPTRP00000004110
ENSPTRP00000000229 ENSPTRP00000008828
ENSPTRP00000000229 ENSPTRP00000025252
ENSPTRP00000000229 ENSPTRP00000036840
ENSPTRP00000000229 ENSPTRP00000001821
ENSPTRP00000000229 ENSPTRP00000022705
ENSPTRP00000000229 ENSPTRP00000003602
ENSPTRP00000000229 ENSPTRP00000022088
ENSPTRP00000000229 ENSPTRP00000027104
ENSPTRP00000000229 ENSPTRP00000026201
ENSPTRP00000000229 ENSPTRP00000043523
ENSPTRP00000000229 ENSPTRP00000026773
ENSPTRP00000000229 ENSPTRP00000026315
ENSPTRP00000000229 ENSPTRP00000017657
ENSPTRP00000000229 ENSPTRP00000026924
ENSPTRP00000000229 ENSPTRP00000040421
ENSPTRP00000000229 ENSPTRP00000028823
ENSPTRP00000000229 ENSPTRP00000027637
ENSPTRP00000000229 ENSPTRP00000053173
ENSPTRP00000000229 ENSPTRP00000006581
ENSPTRP00000000229 ENSPTRP00000006936
ENSPTRP00000000229 ENSPTRP00000033088
ENSPTRP00000000229 ENSPTRP00000045284
ENSPTRP00000000229 ENSPTRP00000033201
ENSPTRP00000000229 ENSPTRP00000014330
ENSPTRP00000000229 ENSPTRP00000043214
ENSPTRP00000000229 ENSPTRP00000026912
ENSPTRP00000000229 ENSPTRP00000047269
ENSPTRP00000000229 ENSPTRP00000018631
ENSPTRP00000000229 ENSPTRP00000030013
ENSPTRP00000000229 ENSPTRP00000008096
ENSPTRP00000000229 ENSPTRP00000035490
ENSPTRP00000000229 ENSPTRP00000020259
ENSPTRP00000000229 ENSPTRP00000027635
ENSPTRP00000000229 ENSPTRP00000022026
ENSPTRP00000000229 ENSPTRP00000057112
ENSPTRP00000000229 ENSPTRP00000060126
ENSPTRP00000000229 ENSPTRP00000012110
ENSPTRP00000000229 ENSPTRP00000004898
ENSPTRP00000000229 ENSPTRP00000025952
ENSPTRP00000000229 ENSPTRP00000026618
