VIT_00s0174g00270.t01 VIT_01s0026g00830.t01
VIT_00s0174g00270.t01 VIT_06s0004g07750.t01
VIT_00s0174g00270.t01 VIT_12s0055g01030.t01
VIT_00s0174g00270.t01 VIT_06s0004g07770.t01
VIT_00s0174g00270.t01 VIT_11s0052g00650.t01
VIT_00s0174g00270.t01 VIT_18s0001g01140.t01
VIT_00s0174g00270.t01 VIT_09s0002g04460.t01
VIT_00s0174g00270.t01 VIT_07s0130g00220.t01
VIT_00s0174g00270.t01 VIT_12s0055g01020.t01
VIT_00s0179g00300.t01 VIT_04s0008g03600.t01
VIT_00s0179g00300.t01 VIT_04s0008g06020.t01
VIT_00s0179g00300.t01 VIT_05s0020g04430.t01
VIT_00s0179g00300.t01 VIT_08s0007g07200.t01
VIT_00s0179g00300.t01 VIT_11s0052g00610.t01
VIT_00s0179g00330.t01 VIT_16s0050g01090.t01
VIT_00s0179g00330.t01 VIT_08s0007g05690.t01
VIT_00s0179g00330.t01 VIT_04s0023g00080.t01
VIT_00s0179g00330.t01 VIT_15s0021g02190.t01
VIT_00s0179g00330.t01 VIT_02s0025g00240.t01
VIT_00s0179g00350.t01 VIT_15s0046g00090.t01
VIT_00s0179g00350.t01 VIT_00s1338g00010.t01
VIT_00s0179g00350.t01 VIT_16s0039g00730.t01
VIT_00s0179g00350.t01 VIT_06s0004g05830.t01
VIT_00s0179g00350.t01 VIT_05s0094g00130.t01
VIT_00s0179g00350.t01 VIT_01s0011g04350.t01
VIT_00s0179g00350.t01 VIT_08s0007g06490.t01
VIT_00s0179g00350.t01 VIT_17s0000g04830.t01
VIT_00s0179g00350.t01 VIT_17s0000g01730.t01
VIT_00s0179g00350.t01 VIT_06s0004g03740.t01
VIT_00s0179g00350.t01 VIT_01s0146g00310.t01
VIT_00s0179g00350.t01 VIT_15s0046g00350.t01
VIT_00s0179g00350.t01 VIT_05s0020g02510.t01
VIT_00s0179g00350.t01 VIT_02s0154g00350.t01
VIT_00s0179g00350.t01 VIT_01s0150g00190.t01
VIT_00s0179g00350.t01 VIT_04s0008g00180.t01
VIT_00s0179g00350.t01 VIT_00s0220g00110.t01
VIT_00s0179g00350.t01 VIT_09s0002g04540.t01
VIT_00s0179g00350.t01 VIT_14s0068g01960.t01
VIT_00s0179g00350.t01 VIT_06s0061g01610.t01
VIT_00s0179g00350.t01 VIT_08s0056g01420.t01
VIT_00s0179g00350.t01 VIT_12s0057g01030.t01
VIT_00s0179g00350.t01 VIT_01s0026g00990.t01
VIT_00s0179g00350.t01 VIT_14s0068g02000.t01
VIT_00s0179g00350.t01 VIT_18s0001g14650.t01
VIT_00s0179g00350.t01 VIT_06s0009g01720.t01
VIT_00s0179g00350.t01 VIT_06s0004g06900.t01
VIT_00s0179g00350.t01 VIT_17s0000g00690.t01
VIT_00s0179g00350.t01 VIT_01s0127g00350.t01
VIT_00s0179g00350.t01 VIT_04s0008g06990.t01
VIT_00s0179g00350.t01 VIT_05s0077g01170.t01
VIT_00s0179g00350.t01 VIT_04s0023g03010.t01
