MRA_0239 MtubH3_010100014490
MRA_0239 MtubH3_010100002303
MRA_0239 MtubH3_010100015150
MRA_0239 MtubH3_010100023160
MRA_0239 MtubH3_010100013192
MRA_0239 MtubH3_010100006518
MRA_0239 MtubH3_010100012900
MRA_0239 MRA_2527
MRA_0239 MRA_3585
MRA_0239 MtubH3_010100006808
MRA_0239 MtubH3_010100019513
MRA_0239 MtubH3_010100012395
MRA_0239 MtubH3_010100001700
MRA_0239 MtubH3_010100001138
MRA_0239 MtubH3_010100006818
MRA_0239 MtubH3_010100006271
MRA_0239 MtubH3_010100020903
MRA_0239 MtubH3_010100012795
MRA_0239 MtubH3_010100008368
MRA_0239 MtubH3_010100012805
MRA_0239 MtubH3_010100023205
MRA_0239 MtubH3_010100020058
MRA_0239 MtubH3_010100004747
MRA_0239 MtubH3_010100006463
MRA_0241 MtubH3_010100012325
MRA_0250 MtubH3_010100013392
MRA_0251 MtubH3_010100013397
MRA_0262 MtubH3_010100013457
MRA_0269 MtubH3_010100019708
MRA_0269 MtubH3_010100011663
MRA_0269 MtubH3_010100019713
MRA_0269 MtubH3_010100013452
MRA_0269 MtubH3_010100013457
MRA_0269 MtubH3_010100019718
MRA_0269 MtubH3_010100011458
MRA_0269 MtubH3_010100019723
MRA_0269 MtubH3_010100008997
MRA_0270 MtubH3_010100013517
MRA_0273 MtubH3_010100013532
MRA_0274 MtubH3_010100023565
MRA_0274 MtubH3_010100011825
MRA_0274 MtubH3_010100012075
MRA_0274 MtubH3_010100016266
MRA_0274 MtubH3_010100018908
MRA_0274 MtubH3_010100020963
MRA_0274 MtubH3_010100017965
MRA_0274 MtubH3_010100008193
MRA_0274 MtubH3_010100015695
MRA_0274 MtubH3_010100018913
MRA_0274 MtubH3_010100015685
MRA_0274 MtubH3_010100012925
MRA_0296 MtubH3_010100003507
MRA_0296 MRA_0297
MRA_0296 MtubH3_010100003502
MRA_0297 MtubH3_010100003507
MRA_0297 MtubH3_010100003502
MRA_0297 MRA_0296
MRA_0298 MtubH3_010100003512
MRA_0309 MRA_0310
MRA_0309 MtubH3_010100006036
MRA_0309 MtubH3_010100006031
MRA_0310 MRA_0309
MRA_0310 MtubH3_010100006031
MRA_0310 MtubH3_010100006036
MRA_0311 MtubH3_010100006041
MRA_0324 MtubH3_010100006838
MRA_0333 MtubH3_010100006888
MRA_0343 MRA_3508
MRA_0343 MtubH3_010100001358
MRA_0343 MtubH3_010100008498
MRA_0343 MtubH3_010100024035
MRA_0343 MtubH3_010100017268
MRA_0359 MtubH3_010100010821
MRA_0372 MtubH3_010100010896
MRA_0380 MtubH3_010100010936
MRA_0384 MtubH3_010100010951
MRA_0384 MRA_0089
MRA_0384 MtubH3_010100022298
MRA_0384 MtubH3_010100010946
MRA_0387 MtubH3_010100010976
MRA_0397 MtubH3_010100023265
MRA_0398 MtubH3_010100023260
MRA_0413 MtubH3_010100023165
MRA_0416 MtubH3_010100023150
MRA_0420 MtubH3_010100023130
MRA_0434 MtubH3_010100023045
MRA_0436 MtubH3_010100023035
MRA_0437 MtubH3_010100023030
MRA_0445 MtubH3_010100022985
MRA_0449 MRA_0450
MRA_0449 MtubH3_010100022965
MRA_0449 MtubH3_010100022960
MRA_0450 MtubH3_010100022960
MRA_0450 MtubH3_010100022965
MRA_0450 MRA_0449
MRA_0456 MtubH3_010100022920
MRA_0468 MtubH3_010100022855
MRA_0473 MtubH3_010100022830
MRA_0476 MtubH3_010100022815
MRA_0489 MtubH3_010100007356
MRA_0489 MtubH3_010100005957
MRA_0496 MtubH3_010100022690
MRA_0498 MtubH3_010100022685
MRA_0511 MtubH3_010100022600
MRA_0513 MtubH3_010100014850
MRA_0513 MtubH3_010100010069
MRA_0513 MtubH3_010100022203
MRA_0513 MtubH3_010100018419
MRA_0516 MtubH3_010100003607
MRA_0516 MtubH3_010100007342
MRA_0540 MtubH3_010100020578
MRA_0540 MtubH3_010100015475
MRA_0540 MRA_0126
MRA_0540 MtubH3_010100019183
MRA_0540 MtubH3_010100006361
MRA_0540 MtubH3_010100023650
MRA_0540 MRA_0222
MRA_0540 MRA_3841
MRA_0540 MtubH3_010100014113
MRA_0540 MtubH3_010100011578
MRA_0540 MRA_2551
MRA_0540 MRA_1936
MRA_0540 MtubH3_010100010696
MRA_0540 MRA_0103
MRA_0540 MtubH3_010100019193
MRA_0540 MtubH3_010100006286
MRA_0540 MtubH3_010100008208
MRA_0540 MtubH3_010100014695
MRA_0540 MtubH3_010100013567
MRA_0540 MRA_3546
MRA_0540 MtubH3_010100018698
MRA_0540 MtubH3_010100008875
MRA_0540 MtubH3_010100016671
MRA_0540 MtubH3_010100014275
MRA_0540 MRA_0558
MRA_0540 MRA_3600
MRA_0540 MtubH3_010100023180
MRA_0540 MtubH3_010100015430
MRA_0540 MtubH3_010100008163
MRA_0540 MtubH3_010100019238
MRA_0540 MtubH3_010100005707
MRA_0541 MtubH3_010100010169
MRA_0555 MtubH3_010100010264
