PPSIR1_08396 PPSIR1_08386
PPSIR1_08441 PPSIR1_26031
PPSIR1_08441 PPSIR1_25506
PPSIR1_08441 PPSIR1_18152
PPSIR1_08646 PPSIR1_12608
PPSIR1_08761 PPSIR1_09890
PPSIR1_08791 PPSIR1_31863
PPSIR1_08936 PPSIR1_12348
PPSIR1_08936 PPSIR1_05008
PPSIR1_08936 PPSIR1_31988
PPSIR1_08936 PPSIR1_05003
PPSIR1_08936 PPSIR1_29935
PPSIR1_09086 PPSIR1_15205
PPSIR1_09116 PPSIR1_09226
PPSIR1_09126 PPSIR1_09136
PPSIR1_09131 PPSIR1_09136
PPSIR1_09131 PPSIR1_09141
PPSIR1_09131 PPSIR1_09146
PPSIR1_09136 PPSIR1_09131
PPSIR1_09136 PPSIR1_09126
PPSIR1_09141 PPSIR1_09131
PPSIR1_09141 PPSIR1_09146
PPSIR1_09146 PPSIR1_09141
PPSIR1_09146 PPSIR1_09131
PPSIR1_09226 PPSIR1_09116
PPSIR1_09336 PPSIR1_10060
PPSIR1_09346 PPSIR1_10060
PPSIR1_09390 PPSIR1_37224
PPSIR1_09890 PPSIR1_40635
PPSIR1_09890 PPSIR1_02421
PPSIR1_09890 PPSIR1_08761
PPSIR1_09890 PPSIR1_35492
PPSIR1_09890 PPSIR1_32178
PPSIR1_09890 PPSIR1_34387
PPSIR1_09890 PPSIR1_35487
PPSIR1_09890 PPSIR1_41669
PPSIR1_09890 PPSIR1_10895
PPSIR1_09910 PPSIR1_37664
PPSIR1_09910 PPSIR1_28621
PPSIR1_09955 PPSIR1_15470
PPSIR1_09955 PPSIR1_17930
PPSIR1_09955 PPSIR1_34168
PPSIR1_09975 PPSIR1_09980
PPSIR1_09980 PPSIR1_09975
PPSIR1_09980 PPSIR1_03703
PPSIR1_09980 PPSIR1_04683
PPSIR1_09980 PPSIR1_32849
PPSIR1_10060 PPSIR1_09336
PPSIR1_10060 PPSIR1_07023
PPSIR1_10060 PPSIR1_09346
PPSIR1_10065 PPSIR1_12348
PPSIR1_10065 PPSIR1_14650
PPSIR1_10075 PPSIR1_08267
PPSIR1_10075 PPSIR1_24259
PPSIR1_10075 PPSIR1_03948
PPSIR1_10080 PPSIR1_12488
PPSIR1_10150 PPSIR1_05383
PPSIR1_10150 PPSIR1_30125
PPSIR1_10150 PPSIR1_37809
PPSIR1_10210 PPSIR1_11671
PPSIR1_10210 PPSIR1_05008
PPSIR1_10210 PPSIR1_31988
PPSIR1_10210 PPSIR1_05003
PPSIR1_10210 PPSIR1_12348
PPSIR1_10215 PPSIR1_12348
PPSIR1_10415 PPSIR1_36252
PPSIR1_10415 PPSIR1_22476
PPSIR1_10415 PPSIR1_07048
PPSIR1_10415 PPSIR1_05198
PPSIR1_10415 PPSIR1_37669
PPSIR1_10415 PPSIR1_34787
PPSIR1_10415 PPSIR1_42019
PPSIR1_10415 PPSIR1_02231
PPSIR1_10415 PPSIR1_22496
PPSIR1_10425 PPSIR1_34787
PPSIR1_10425 PPSIR1_42019
PPSIR1_10425 PPSIR1_02231
PPSIR1_10425 PPSIR1_22496
PPSIR1_10425 PPSIR1_22476
PPSIR1_10425 PPSIR1_36252
PPSIR1_10425 PPSIR1_07048
PPSIR1_10425 PPSIR1_05198
