B0019.2.1 F40F9.7a
B0019.2.1 K01G5.4.1
B0019.2.1 JC8.6a
B0019.2.1 C07H6.7.1
B0024.10.1 C06A1.1.2
B0024.11 F10G7.4
B0024.11 T08G11.5.2
B0024.12 C25F6.2a.2
B0024.12 F14B4.2a.2
B0024.12 C17C3.10
B0024.12 C06G3.1a
B0024.12 F22B3.4
B0024.12 C02B4.2
B0024.12 F31A3.2
B0024.12 C44B9.4
B0024.12 C01H6.5a
B0024.12 C17A2.8
B0024.12 F21D5.1.1
B0024.12 H22D14.1
B0024.12 C34D1.1
B0024.12 Y43F8C.10a
B0024.12 F07A11.2a.1
B0024.12 W06B4.2
B0024.12 C06E2.1.2
B0024.12 B0412.1a
B0024.12 T05C12.6a
B0024.12 T03F6.3
B0024.12 JC8.6a
B0024.12 F10C1.5
B0024.12 F16H11.4.1
B0024.12 C32D5.1
B0024.12 ZC395.8.2
B0024.12 B0365.1
B0024.12 Y73F8A.21
B0024.12 R06C1.6
B0024.12 C39E6.4
B0024.14b K04H4.2c.1
B0024.14b T01D3.3b.1
B0024.14b R02F11.1
B0024.14b T22H2.5b.1
B0024.14b T21B6.3
B0024.14b ZK849.2a
B0024.14b C05G6.1
B0024.14b F35A5.5
B0024.14b C52A11.4d
B0024.14b ZK1067.7
B0024.14b M02G9.1b
B0024.14b F13D11.2a
B0024.14b F54B11.7
B0024.14b F48E8.1a.1
B0024.14b F44B9.6
B0024.14b B0228.1
B0024.14b T21D12.11
B0024.14b DH11.5d
B0024.14b F48E3.8a
B0024.14b F29G6.3b
B0024.14b F43G9.11
B0024.14b C02C2.1
B0024.14b Y65B4A.7
B0024.14b T01B7.8
B0024.14b H04J21.3b
B0024.14b F48G7.10
B0024.14b ZK849.1
B0024.14b Y64G10A.7b
B0024.14b Y69H2.10a
B0024.14b C37C3.6b.1
B0024.14b Y69H2.3b.2
B0024.14b F08C6.1a.2
B0024.14b F15D4.5
B0024.14b Y55F3BR.2
B0024.14b K08E7.5a
B0024.14b B0507.1
B0024.14b Y41D4A.1
B0024.14b K08E3.6.1
B0024.14b Y39B6A.19a
B0024.14b Y39B6A.1.2
B0024.14b F30H5.3
B0024.15.1 Y73E7A.7
B0024.2 Y66A7A.8
B0024.2 R53.3a
B0024.2 T14F9.4a
B0024.8a T07C4.6.1
B0024.8a T07C4.2
B0024.9a R07E5.2.1
B0024.9a F12F6.7.2
B0025.1a T01C8.1b
B0025.1a F53A2.8b.1
B0025.1a F26H9.6.1
B0025.1a T22H9.2a
B0025.1a T08A9.1
B0025.1a B0336.8
B0025.1a ZK593.6a
B0025.1a D2007.5.2
B0025.1a Y110A7A.10.2
B0025.1a T10G3.5a
B0025.1a K04G2.6.1
B0025.1a Y111B2A.8
B0025.1a T24A11.1a
B0025.1a ZK930.1a
B0025.1a F35H12.4
B0025.1a Y55F3AM.4
B0025.1a Y71G12B.12a.2
B0025.1a F39B1.1
B0025.1a Y106G6A.2a
B0025.1a Y46G5A.5
B0025.1a B0348.4b
B0025.1a T19E7.3.2
B0025.1a R05G6.8
B0025.1a F55F3.1.2
B0025.1a Y75B8A.24
B0025.1a Y47D3A.15
B0025.1a T07A9.6
B0025.1a F02E8.5
B0025.1a C32D5.9.1
B0025.1a PAR2.3a
B0025.1a F41E6.13a.1
B0025.1a F31B12.1a
B0025.1a Y69A2AR.7a
B0025.1a Y110A7A.5
B0025.1a B0334.8
B0025.1a ZC8.6
B0025.1a T01E8.3
B0025.1a Y60A3A.1.2
B0025.1a K06A1.5.1
B0025.2.1 K08C9.7
