ENSMICP00000014008 ENSMICP00000001674
ENSMICP00000014008 ENSMICP00000012763
ENSMICP00000014008 ENSMICP00000008310
ENSMICP00000014008 ENSMICP00000000511
ENSMICP00000014142 ENSMICP00000007494
ENSMICP00000014647 ENSMICP00000006221
ENSMICP00000014647 ENSMICP00000015728
ENSMICP00000015047 ENSMICP00000013605
ENSMICP00000015047 ENSMICP00000015123
ENSMICP00000015047 ENSMICP00000003745
ENSMICP00000015047 ENSMICP00000003386
ENSMICP00000015047 ENSMICP00000002444
ENSMICP00000015047 ENSMICP00000004482
ENSMICP00000015047 ENSMICP00000015129
ENSMICP00000015047 ENSMICP00000002318
ENSMICP00000015123 ENSMICP00000015047
ENSMICP00000015123 ENSMICP00000003386
ENSMICP00000015123 ENSMICP00000013605
ENSMICP00000015123 ENSMICP00000004482
ENSMICP00000015123 ENSMICP00000015129
ENSMICP00000015129 ENSMICP00000013605
ENSMICP00000015129 ENSMICP00000015123
ENSMICP00000015129 ENSMICP00000015047
ENSMICP00000015129 ENSMICP00000003386
ENSMICP00000015129 ENSMICP00000002444
ENSMICP00000015129 ENSMICP00000004482
ENSMICP00000015275 ENSMICP00000001034
ENSMICP00000015275 ENSMICP00000011766
ENSMICP00000015275 ENSMICP00000002599
ENSMICP00000015275 ENSMICP00000011740
ENSMICP00000015275 ENSMICP00000011793
ENSMICP00000015275 ENSMICP00000004522
ENSMICP00000015275 ENSMICP00000009138
ENSMICP00000015275 ENSMICP00000004499
ENSMICP00000015433 ENSMICP00000004523
ENSMICP00000015728 ENSMICP00000014647
ENSMICP00000015728 ENSMICP00000002252
