MAL13P1.233 PFA0330w
MAL13P1.234 PFE1465w.1
MAL13P1.234 PF14_0059
MAL13P1.237 MAL13P1.233
MAL13P1.237 PF13_0161
MAL13P1.237 PFE0995c
MAL13P1.249 PFE0570w
MAL13P1.249 MAL7P1.20
MAL13P1.249 PFD0665c
MAL13P1.25 PFE0895c
MAL13P1.253 MAL8P1.48
MAL13P1.253 PF11_0280
MAL13P1.253 PFB0865w
MAL13P1.253 PF11_0266
MAL13P1.253 PF14_0146
MAL13P1.253 PFI0475w
MAL13P1.256 MAL8P1.95
MAL13P1.256 PF14_0032
MAL13P1.256 PFE0750c
MAL13P1.262 MAL7P1.170
MAL13P1.268 PFL2430c
MAL13P1.269 PFD0545w
MAL13P1.269 PF11_0504
MAL13P1.269 PFD0560w
MAL13P1.269 PFA0430c
MAL13P1.269 PFC0150w
MAL13P1.269 PF07_0044
MAL13P1.269 PF11_0351
MAL13P1.269 PFD0735c
MAL13P1.269 PF13_0132
MAL13P1.269 PFL1705w
MAL13P1.269 PFD0885c
MAL13P1.270 PF07_0112
MAL13P1.270 PFI1545c
MAL13P1.270 MAL8P1.142
MAL13P1.270 MAL8P1.128
MAL13P1.270 PF13_0156
MAL13P1.270 PF10_0111
MAL13P1.270 PF14_0716
MAL13P1.270 PF13_0282
MAL13P1.270 PFE0915c
MAL13P1.270 PFF0420c
MAL13P1.270 PFA0400c
MAL13P1.270 PF14_0676
MAL13P1.270 PFC0745c
MAL13P1.271 PFC0710w.2
MAL13P1.271 PF14_0541
MAL13P1.271 PFE0965c
MAL13P1.274 PFE0040c
MAL13P1.274 PF13_0147
MAL13P1.275 MAL8P1.153
MAL13P1.278 PFB1055c
MAL13P1.281 PF13_0257
MAL13P1.281 PF13_0286
MAL13P1.281 PF14_0164
MAL13P1.281 PFI1110w
MAL13P1.281 PF08_0132
MAL13P1.281 PF14_0334
MAL13P1.281 PF14_0286
MAL13P1.290 MAL13P1.301
MAL13P1.290 PFF0275c
MAL13P1.290 PF14_0100
MAL13P1.290 PF13_0349
MAL13P1.290 MAL7P1.110
MAL13P1.290 PF10_0363
MAL13P1.290 PFL1155w
MAL13P1.290 PFE1035c
MAL13P1.290 PFF1300w
MAL13P1.292 PF10_0147
MAL13P1.295 PF14_0735
MAL13P1.295 PFI1475w
MAL13P1.295 PFA0475c
MAL13P1.295 PFE1245w
MAL13P1.295 PF10_0232
MAL13P1.295 PFE0440w
MAL13P1.295 MAL8P1.113
MAL13P1.295 PFL0185c
MAL13P1.301 PFL0330c
MAL13P1.301 PF14_0695
MAL13P1.301 PF13_0040
MAL13P1.301 PF13_0349
MAL13P1.301 PFC0805w
MAL13P1.301 MAL7P1.110
MAL13P1.301 PF13_0150
MAL13P1.301 PFE0465c
MAL13P1.301 PF10_0269
MAL13P1.301 PF11_0358
MAL13P1.301 PFL1155w
MAL13P1.301 PFB0290c
MAL13P1.301 PF13_0023
MAL13P1.301 PFC0155c
MAL13P1.301 MAL13P1.213
MAL13P1.301 PFF1300w
MAL13P1.301 PF14_0672
MAL13P1.301 PF10_0363
MAL13P1.301 MAL13P1.290
MAL13P1.301 MAL13P1.118
MAL13P1.301 PFL0475w
MAL13P1.301 PFI1130c
MAL13P1.301 PFL0665c
MAL13P1.301 PF11_0058.1
MAL13P1.301 PF07_0027
MAL13P1.301 PF11_0445
MAL13P1.301 PFE1035c
MAL13P1.301 PFB0715w
MAL13P1.301 PF13_0341
MAL13P1.301 PFB0245c
MAL13P1.301 PF14_0150
MAL13P1.301 PF14_0207
MAL13P1.301 PFA0505c
MAL13P1.301 PFF0275c
MAL13P1.302 PFL1395c
MAL13P1.304 PF11_0402
MAL13P1.304 PF11_0351
MAL13P1.304 PF08_0127
MAL13P1.304 PFD0740w
MAL13P1.304 PFI0165c
MAL13P1.304 PF14_0131
MAL13P1.304 PFF0670w
MAL13P1.308 PFI1475w
MAL13P1.308 PFL2430c
MAL13P1.308 PF14_0673
MAL13P1.308 PFB0640c
MAL13P1.308 PF14_0652
MAL13P1.308 PF14_0344
MAL13P1.308 PF11_0477
MAL13P1.308 PFL1340c
MAL13P1.308 PF10_0155
MAL13P1.308 PF11_0310
MAL13P1.308 PFE1600w
MAL13P1.308 PF11_0400
MAL13P1.308 PF11_0225
MAL13P1.308 MAL13P1.140
MAL13P1.308 PF10_0115
MAL13P1.308 PF14_0380
