AL1_04240 AL1_13430
AL1_04240 AL1_13210
AL1_04240 AL1_04250
AL1_04240 AL1_14040
AL1_04240 AL1_08310
AL1_04240 AL1_06570
AL1_04240 AL1_00900
AL1_04240 AL1_20170
AL1_04240 AL1_06900
AL1_04240 AL1_07060
AL1_04250 AL1_17530
AL1_04250 AL1_00900
AL1_04250 AL1_23160
AL1_04250 AL1_08300
AL1_04250 AL1_28190
AL1_04250 AL1_29940
AL1_04250 AL1_32270
AL1_04250 AL1_28200
AL1_04250 AL1_10420
AL1_04250 AL1_24020
AL1_04250 AL1_21640
AL1_04250 AL1_30510
AL1_04250 AL1_28210
AL1_04250 AL1_22080
AL1_04250 AL1_13430
AL1_04250 AL1_29930
AL1_04250 AL1_14040
AL1_04250 AL1_10680
AL1_04250 AL1_13210
AL1_04250 AL1_20170
AL1_04250 AL1_06900
AL1_04250 AL1_22960
AL1_04250 AL1_26380
AL1_04250 AL1_08310
AL1_04250 AL1_06570
AL1_04250 AL1_06910
AL1_04250 AL1_26810
AL1_04250 AL1_04240
AL1_04300 AL1_25240
AL1_04300 AL1_25220
AL1_04300 AL1_25260
AL1_04300 AL1_25270
AL1_04460 AL1_18590
AL1_04460 AL1_18610
AL1_04460 AL1_18330
AL1_04460 AL1_04480
AL1_04460 AL1_04470
AL1_04460 AL1_04490
AL1_04470 AL1_18610
AL1_04470 AL1_04460
AL1_04470 AL1_18330
AL1_04470 AL1_04480
AL1_04480 AL1_18610
AL1_04480 AL1_18330
AL1_04480 AL1_04470
AL1_04480 AL1_27520
AL1_04480 AL1_02430
AL1_04480 AL1_04460
AL1_04490 AL1_18610
AL1_04490 AL1_27830
AL1_04490 AL1_02430
AL1_04490 AL1_27520
AL1_04490 AL1_04460
AL1_04490 AL1_18590
AL1_04500 AL1_05120
AL1_04500 AL1_21660
AL1_04500 AL1_27830
AL1_04530 AL1_22930
AL1_04530 AL1_04540
AL1_04530 AL1_23320
AL1_04530 AL1_05600
AL1_04540 AL1_04530
AL1_04570 AL1_21640
AL1_04570 AL1_02930
AL1_04570 AL1_06860
AL1_04570 AL1_16350
AL1_04570 AL1_30730
AL1_04570 AL1_05020
AL1_04570 AL1_30700
AL1_04570 AL1_25320
AL1_04570 AL1_03190
AL1_04570 AL1_30510
AL1_04570 AL1_04830
AL1_04570 AL1_29910
AL1_04570 AL1_21600
AL1_04570 AL1_03000
AL1_04570 AL1_31800
AL1_04570 AL1_04600
AL1_04570 AL1_26810
AL1_04570 AL1_17590
AL1_04570 AL1_26380
AL1_04570 AL1_22960
AL1_04580 AL1_04590
AL1_04580 AL1_04600
AL1_04590 AL1_32300
AL1_04590 AL1_04580
AL1_04600 AL1_04570
AL1_04600 AL1_04580
AL1_04650 AL1_29600
AL1_04650 AL1_31960
AL1_04650 AL1_12290
AL1_04650 AL1_25320
AL1_04650 AL1_28250
AL1_04650 AL1_06700
AL1_04650 AL1_26810
AL1_04790 AL1_10650
AL1_04790 AL1_30860
AL1_04790 AL1_14860
AL1_04790 AL1_05130
AL1_04790 AL1_14980
AL1_04790 AL1_22470
AL1_04790 AL1_17020
AL1_04830 AL1_30730
AL1_04830 AL1_05020
AL1_04830 AL1_06860
AL1_04830 AL1_30700
AL1_04830 AL1_30780
AL1_04830 AL1_25320
AL1_04830 AL1_04570
AL1_04830 AL1_21600
AL1_04830 AL1_31800
AL1_04830 AL1_30710
AL1_04860 AL1_27730
AL1_04860 AL1_23200
AL1_04860 AL1_23220
AL1_04860 AL1_22080
AL1_04860 AL1_23160
AL1_04860 AL1_10350
AL1_04860 AL1_26380
AL1_04860 AL1_13070
AL1_04900 AL1_06460
AL1_04900 AL1_04920
AL1_04900 AL1_24870
AL1_04900 AL1_24880
AL1_04900 AL1_06600
AL1_04900 AL1_06480
AL1_04920 AL1_24870
AL1_04920 AL1_04900
AL1_04920 AL1_06480
AL1_05010 AL1_00760
AL1_05010 AL1_13100
AL1_05010 AL1_03180
AL1_05020 AL1_23170
AL1_05020 AL1_06860
AL1_05020 AL1_30730
AL1_05020 AL1_05580
AL1_05020 AL1_14720
AL1_05020 AL1_30700
AL1_05020 AL1_10540
AL1_05020 AL1_04830
AL1_05020 AL1_12290
AL1_05020 AL1_21600
AL1_05020 AL1_04570
AL1_05020 AL1_30400
AL1_05020 AL1_15500
