rrnAC0068 rrnAC1232
rrnAC0069 rrnAC0345
rrnAC0069 rrnAC3210
rrnAC0069 rrnAC0546
rrnAC0069 rrnAC0562
rrnAC0069 rrnAC1881
rrnAC0069 rrnAC2859
rrnAC0069 rrnAC3121
rrnAC0069 rrnAC1795
rrnAC0069 rrnAC3403
rrnAC0069 rrnAC2305
rrnAC0069 rrnAC3429
rrnAC0069 rrnAC2741
rrnAC0077 rrnAC3412
rrnAC0077 rrnAC1489
rrnAC0078 rrnAC0081
rrnAC0078 rrnAC3146
rrnAC0078 rrnAC3484
rrnAC0078 rrnAC1489
rrnAC0078 rrnAC2678
rrnAC0081 rrnAC1716
rrnAC0081 rrnAC3484
rrnAC0081 rrnAC0078
rrnAC0081 rrnAC1477
rrnAC0081 rrnAC2069
rrnAC0081 rrnAC0320
rrnAC0081 rrnAC3146
rrnAC0085 rrnAC2780
rrnAC0085 rrnAC0775
rrnAC0085 rrnAC1708
rrnAC0085 rrnAC0169
rrnAC0085 rrnAC0384
rrnAC0102 rrnAC2992
rrnAC0102 rrnAC2853
rrnAC0102 rrnAC2625
rrnAC0102 rrnAC2626
rrnAC0102 rrnAC2627
rrnAC0103 rrnAC1596
rrnAC0103 rrnAC1608
rrnAC0103 rrnAC0065
rrnAC0103 rrnAC1594
rrnAC0103 rrnAC1602
rrnAC0103 rrnAC1669
rrnAC0103 rrnAC1414
rrnAC0103 rrnAC0064
rrnAC0103 rrnAC1604
rrnAC0103 rrnAC1590
rrnAC0103 rrnAC3113
rrnAC0103 rrnAC2357
rrnAC0103 rrnAC0104
rrnAC0103 rrnAC1610
rrnAC0103 rrnAC0260
rrnAC0103 rrnAC1598
rrnAC0103 rrnAC1606
rrnAC0103 rrnAC2065
rrnAC0103 rrnAC1601
rrnAC0103 rrnAC1609
rrnAC0103 rrnAC1611
rrnAC0103 rrnAC1417
rrnAC0103 rrnAC3514
rrnAC0103 rrnAC1593
rrnAC0103 rrnAC1595
rrnAC0103 rrnAC3112
rrnAC0103 rrnAC1591
rrnAC0104 rrnAC3514
rrnAC0104 rrnAC1610
rrnAC0104 rrnAC1609
rrnAC0104 rrnAC1590
rrnAC0104 rrnAC1591
rrnAC0104 rrnAC3112
rrnAC0104 rrnAC1595
rrnAC0104 rrnAC3113
rrnAC0104 rrnAC1604
rrnAC0104 rrnAC2357
rrnAC0104 rrnAC1606
rrnAC0104 rrnAC1669
rrnAC0104 rrnAC1593
rrnAC0104 rrnAC0260
rrnAC0104 rrnAC1417
rrnAC0104 rrnAC0065
rrnAC0104 rrnAC2065
rrnAC0104 rrnAC1594
rrnAC0104 rrnAC1602
rrnAC0104 rrnAC1596
rrnAC0104 rrnAC1608
rrnAC0104 rrnAC1598
rrnAC0104 rrnAC1414
rrnAC0104 rrnAC0103
rrnAC0104 rrnAC1601
rrnAC0104 rrnAC0064
rrnAC0104 rrnAC1611
rrnAC0106 rrnAC2430
rrnAC0106 rrnAC2427
rrnAC0106 rrnAC1314
rrnAC0106 rrnAC2830
rrnAC0106 rrnAC0067
rrnAC0106 rrnAC3174
rrnAC0106 rrnAC1668
rrnAC0106 rrnAC2714
rrnAC0106 rrnAC1622
rrnAC0106 rrnAC3343
rrnAC0106 rrnAC2493
rrnAC0106 rrnAC1187
rrnAC0106 rrnAC0259
rrnAC0106 rrnAC1396
rrnAC0106 rrnAC0531
rrnAC0106 rrnAC0546
rrnAC0106 rrnAC2432
rrnAC0106 rrnAC0062
rrnAC0106 rrnAC3471
rrnAC0106 rrnAC2429
rrnAC0106 rrnAC3286
rrnAC0106 rrnAC2829
rrnAC0106 rrnAC2159
rrnAC0106 rrnAC0068
rrnAC0106 rrnAC1831
rrnAC0106 rrnAC2428
rrnAC0106 rrnAC3346
rrnAC0106 rrnAC2691
rrnAC0106 rrnAC1776
rrnAC0106 rrnAC1232
rrnAC0124 rrnAC0837
rrnAC0124 rrnAC0709
rrnAC0124 rrnAC1518
rrnAC0124 rrnAC0710
rrnAC0124 rrnAC0752
rrnAC0124 rrnAC0127
rrnAC0124 rrnAC1517
rrnAC0127 rrnAC0124
rrnAC0127 rrnAC0753
rrnAC0134 rrnAC0332
rrnAC0134 rrnAC2508
rrnAC0134 rrnB0200
rrnAC0134 rrnAC2957
rrnAC0134 rrnAC0718
rrnAC0134 rrnAC0330
rrnAC0134 rrnB0209
rrnAC0134 rrnAC1267
rrnAC0134 rrnAC1231
rrnAC0134 rrnAC1795
rrnAC0134 rrnAC1268
rrnAC0134 rrnAC1690
rrnAC0134 rrnAC2956
rrnAC0134 rrnAC0331
rrnAC0134 rrnAC0546
rrnAC0134 rrnAC0340
rrnAC0134 rrnAC0149
rrnAC0134 rrnAC1754
rrnAC0134 rrnB0199
rrnAC0134 rrnAC0719
rrnAC0134 rrnAC0329
rrnAC0137 rrnAC3539
rrnAC0137 rrnB0206
rrnAC0137 rrnAC2840
rrnAC0137 rrnAC3063
rrnAC0137 rrnAC2716
rrnAC0137 rrnAC1236
rrnAC0137 rrnB0281
rrnAC0137 rrnAC1087
rrnAC0137 rrnAC2128
rrnAC0137 rrnAC3495
rrnAC0137 rrnAC2414
rrnAC0137 rrnAC0255
rrnAC0137 rrnAC2129
rrnAC0137 rrnAC0254
rrnAC0137 rrnAC1434
rrnAC0141 rrnAC0472
rrnAC0141 rrnAC3495
rrnAC0141 rrnAC0474
rrnAC0141 rrnAC1093
rrnAC0141 rrnAC0888
rrnAC0141 rrnB0206
rrnAC0141 rrnB0219
rrnAC0141 rrnAC1097
rrnAC0141 rrnAC2681
rrnAC0141 rrnAC0028
rrnAC0141 rrnAC1092
rrnAC0141 rrnAC1434
rrnAC0141 rrnAC1091
rrnAC0145 rrnAC0147
rrnAC0145 rrnAC0146
rrnAC0146 rrnAC0145
rrnAC0146 rrnAC0147
rrnAC0147 rrnAC0145
rrnAC0147 rrnAC0146
rrnAC0149 rrnAC3121
rrnAC0149 rrnAC1267
rrnAC0149 rrnAC1268
rrnAC0149 rrnAC1795
rrnAC0149 rrnB0209
rrnAC0149 rrnAC2741
rrnAC0149 rrnAC3429
rrnAC0149 rrnAC0134
rrnAC0149 rrnAC3210
rrnAC0149 rrnAC1690
rrnAC0149 rrnAC3228
rrnAC0149 rrnAC2956
rrnAC0149 rrnAC0331
rrnAC0149 rrnB0265
rrnAC0149 rrnAC0546
rrnAC0149 rrnAC1754
rrnAC0149 rrnB0197
rrnAC0149 rrnAC0345
rrnAC0149 rrnAC0334
rrnAC0149 rrnB0199
rrnAC0149 rrnAC3230
rrnAC0149 rrnAC2953
rrnAC0149 rrnAC0719
rrnAC0149 rrnB0217
rrnAC0149 rrnAC1881
rrnAC0149 rrnAC0650
rrnAC0149 rrnAC0329
rrnAC0149 rrnB0200
rrnAC0149 rrnB0198
rrnAC0149 rrnAC1341
rrnAC0149 rrnAC2305
rrnAC0149 rrnAC2957
rrnAC0149 rrnAC0718
rrnAC0149 rrnAC2955
rrnAC0149 rrnAC0336
rrnAC0149 rrnAC3381
rrnAC0149 rrnAC0330
rrnAC0169 rrnAC0384
rrnAC0169 rrnAC0797
rrnAC0169 rrnAC3235
rrnAC0169 rrnAC1500
rrnAC0169 rrnB0095
rrnAC0169 rrnAC2473
rrnAC0169 rrnAC2511
rrnAC0169 rrnAC3495
rrnAC0169 rrnB0197
rrnAC0169 rrnAC3036
rrnAC0169 rrnAC3363
rrnAC0169 rrnAC2953
rrnAC0169 rrnAC1497
rrnAC0169 rrnAC0719
rrnAC0169 rrnAC2631
rrnAC0169 rrnAC0085
rrnAC0169 rrnB0092
rrnAC0169 rrnAC1587
rrnAC0169 rrnAC3360
rrnAC0169 rrnAC0201
rrnAC0169 rrnAC1973
rrnAC0169 rrnAC2552
rrnAC0169 rrnAC1359
rrnAC0169 rrnB0206
rrnAC0169 rrnAC2780
rrnAC0169 rrnAC1789
rrnAC0169 rrnAC0984
rrnAC0169 rrnAC0684
rrnAC0169 rrnAC1499
rrnAC0169 rrnB0246
rrnAC0169 rrnAC0685
rrnAC0169 rrnAC0775
rrnAC0169 rrnAC3419
rrnAC0169 rrnAC1434
rrnAC0169 rrnAC2706
rrnAC0169 rrnAC1498
rrnAC0169 rrnAC0718
rrnAC0169 rrnAC3381
rrnAC0173 rrnAC0224
rrnAC0173 rrnAC0799
rrnAC0173 rrnAC1113
rrnAC0173 rrnAC1479
rrnAC0175 rrnAC1650
rrnAC0175 rrnAC0554
rrnAC0175 rrnAC0556
rrnAC0175 rrnAC0555
rrnAC0175 rrnAC1955
rrnAC0175 rrnAC0320
rrnAC0184 rrnAC0246
rrnAC0189 rrnAC1283
rrnAC0189 rrnAC1109
rrnAC0189 rrnAC0514
rrnAC0189 rrnAC1903
rrnAC0189 rrnAC2794
rrnAC0189 rrnAC3268
rrnAC0189 rrnAC1274
rrnAC0189 rrnAC0192
rrnAC0189 rrnAC2139
rrnAC0189 rrnAC1390
rrnAC0189 rrnAC1121
rrnAC0189 rrnAC0996
rrnAC0189 rrnAC2699
rrnAC0189 rrnAC2552
rrnAC0189 rrnAC0999
rrnAC0189 rrnB0175
rrnAC0189 rrnAC3523
rrnAC0189 rrnAC0859
rrnAC0189 rrnAC2659
rrnAC0189 rrnAC1394
rrnAC0189 rrnAC0748
rrnAC0189 rrnAC1500
rrnAC0189 rrnAC0307
rrnAC0189 rrnAC0267
rrnAC0191 rrnAC0201
rrnAC0191 rrnAC1973
rrnAC0191 rrnB0095
rrnAC0191 rrnB0246
rrnAC0191 rrnAC3036
rrnAC0191 rrnB0092
rrnAC0191 rrnAC2631
rrnAC0191 rrnAC2473
rrnAC0192 rrnAC3523
rrnAC0192 rrnAC1394
rrnAC0192 rrnAC0531
rrnAC0192 rrnAC3275
rrnAC0192 rrnAC2511
rrnAC0192 rrnAC3145
rrnAC0192 rrnAC1283
rrnAC0192 rrnAC0719
rrnAC0192 rrnAC0514
rrnAC0192 rrnAC1903
rrnAC0192 rrnAC0189
rrnAC0192 rrnAC2794
rrnAC0192 rrnAC3346
rrnAC0192 rrnAC2681
rrnAC0192 rrnAC3419
rrnAC0192 rrnAC2706
rrnAC0192 rrnAC0718
rrnAC0196 rrnAC2675
rrnAC0196 rrnAC2672
rrnAC0198 rrnAC1927
