MAMP_00931 MAMP_01863
MAMP_00931 MAMP_01742
MAMP_00942 MAMP_02627
MAMP_00942 MAMP_01279
MAMP_00942 MAMP_02928
MAMP_00948 MAMP_01019
MAMP_00948 MAMP_00034
MAMP_00949 MAMP_00961
MAMP_00951 MAMP_02375
MAMP_00951 MAMP_02277
MAMP_00955 MAMP_02577
MAMP_00961 MAMP_01371
MAMP_00961 MAMP_00949
MAMP_00974 MAMP_02792
MAMP_00993 MAMP_02980
MAMP_00994 MAMP_01851
MAMP_00994 MAMP_01857
MAMP_01015 MAMP_00034
MAMP_01019 MAMP_00948
MAMP_01019 MAMP_02573
MAMP_01023 MAMP_01617
MAMP_01023 MAMP_02279
MAMP_01023 MAMP_01282
MAMP_01023 MAMP_02280
MAMP_01023 MAMP_01039
MAMP_01023 MAMP_00725
MAMP_01024 MAMP_01273
MAMP_01038 MAMP_01822
MAMP_01039 MAMP_01023
MAMP_01039 MAMP_02278
MAMP_01041 MAMP_01488
MAMP_01045 MAMP_02873
MAMP_01045 MAMP_03141
MAMP_01045 MAMP_00431
MAMP_01045 MAMP_01272
MAMP_01053 MAMP_00739
MAMP_01053 MAMP_00736
MAMP_01053 MAMP_00726
MAMP_01053 MAMP_00724
MAMP_01053 MAMP_01672
MAMP_01053 MAMP_00728
MAMP_01053 MAMP_00734
MAMP_01053 MAMP_02291
MAMP_01053 MAMP_00740
MAMP_01053 MAMP_00732
MAMP_01053 MAMP_00735
MAMP_01053 MAMP_02015
MAMP_01054 MAMP_02250
MAMP_01058 MAMP_01819
MAMP_01069 MAMP_01863
MAMP_01079 MAMP_01722
MAMP_01079 MAMP_00124
MAMP_01079 MAMP_02586
MAMP_01131 MAMP_01821
MAMP_01131 MAMP_01161
MAMP_01131 MAMP_01820
MAMP_01158 MAMP_02255
MAMP_01158 MAMP_01211
MAMP_01158 MAMP_02027
MAMP_01161 MAMP_01131
MAMP_01169 MAMP_01388
MAMP_01169 MAMP_01343
MAMP_01181 MAMP_00722
MAMP_01187 MAMP_02449
MAMP_01191 MAMP_02449
MAMP_01211 MAMP_01158
MAMP_01221 MAMP_01309
MAMP_01221 MAMP_01467
MAMP_01228 MAMP_00292
MAMP_01228 MAMP_00056
MAMP_01232 MAMP_02291
MAMP_01232 MAMP_01508
MAMP_01232 MAMP_00056
MAMP_01236 MAMP_02281
MAMP_01236 MAMP_00807
MAMP_01236 MAMP_01616
MAMP_01241 MAMP_01924
MAMP_01241 MAMP_00391
MAMP_01257 MAMP_02286
MAMP_01257 MAMP_02986
MAMP_01272 MAMP_01045
MAMP_01272 MAMP_00431
MAMP_01272 MAMP_02873
MAMP_01273 MAMP_01024
MAMP_01273 MAMP_00372
MAMP_01273 MAMP_02501
MAMP_01273 MAMP_01718
MAMP_01273 MAMP_01283
MAMP_01277 MAMP_02928
MAMP_01277 MAMP_01279
MAMP_01277 MAMP_01283
MAMP_01277 MAMP_02572
MAMP_01277 MAMP_00869
MAMP_01279 MAMP_00942
MAMP_01279 MAMP_01277
MAMP_01281 MAMP_02685
MAMP_01281 MAMP_02627
MAMP_01282 MAMP_01023
MAMP_01282 MAMP_01455
MAMP_01283 MAMP_00869
MAMP_01283 MAMP_01277
MAMP_01283 MAMP_01273
MAMP_01283 MAMP_02308
MAMP_01284 MAMP_02584
MAMP_01284 MAMP_01455
MAMP_01284 MAMP_01613
MAMP_01309 MAMP_00822
MAMP_01309 MAMP_01221
MAMP_01316 MAMP_02895
MAMP_01343 MAMP_01169
MAMP_01343 MAMP_00895
MAMP_01348 MAMP_00764
MAMP_01352 MAMP_02249
MAMP_01363 MAMP_00148
MAMP_01371 MAMP_00961
MAMP_01371 MAMP_03018
MAMP_01383 MAMP_03057
MAMP_01388 MAMP_00721
MAMP_01388 MAMP_00134
MAMP_01388 MAMP_00722
MAMP_01388 MAMP_01169
MAMP_01425 MAMP_02810
MAMP_01425 MAMP_02618
MAMP_01439 MAMP_01442
MAMP_01442 MAMP_01439
MAMP_01442 MAMP_02989
MAMP_01455 MAMP_01282
MAMP_01455 MAMP_01284
MAMP_01456 MAMP_01494
MAMP_01463 MAMP_02981
MAMP_01463 MAMP_02482
MAMP_01463 MAMP_01506
MAMP_01467 MAMP_00822
MAMP_01467 MAMP_01221
MAMP_01467 MAMP_00913
MAMP_01470 MAMP_01494
MAMP_01470 MAMP_00654
MAMP_01488 MAMP_02628
MAMP_01488 MAMP_01041
MAMP_01494 MAMP_01470
MAMP_01494 MAMP_00654
MAMP_01494 MAMP_01456
MAMP_01498 MAMP_02308
MAMP_01505 MAMP_01508
MAMP_01506 MAMP_01463
MAMP_01506 MAMP_02611
MAMP_01506 MAMP_02197
MAMP_01508 MAMP_01505
MAMP_01508 MAMP_02847
MAMP_01508 MAMP_01232
MAMP_01556 MAMP_01946
MAMP_01556 MAMP_00056
MAMP_01556 MAMP_00276
MAMP_01559 MAMP_02778
MAMP_01561 MAMP_00356
MAMP_01561 MAMP_00126
MAMP_01561 MAMP_03102
MAMP_01583 MAMP_01591
MAMP_01583 MAMP_01588
MAMP_01588 MAMP_01591
MAMP_01588 MAMP_01583
MAMP_01591 MAMP_01588
MAMP_01591 MAMP_01583
MAMP_01613 MAMP_01863
MAMP_01613 MAMP_01284
MAMP_01616 MAMP_01236
MAMP_01616 MAMP_01697
MAMP_01617 MAMP_01023
MAMP_01617 MAMP_02278
MAMP_01622 MAMP_00889
MAMP_01624 MAMP_00889
MAMP_01625 MAMP_00883
MAMP_01626 MAMP_00764
MAMP_01627 MAMP_03111
MAMP_01632 MAMP_00764
MAMP_01638 MAMP_00764
MAMP_01672 MAMP_01053
MAMP_01677 MAMP_02655
MAMP_01681 MAMP_02635
MAMP_01697 MAMP_03021
MAMP_01697 MAMP_01616
MAMP_01697 MAMP_02840
MAMP_01698 MAMP_02098
MAMP_01698 MAMP_02655
MAMP_01703 MAMP_02449
MAMP_01715 MAMP_01721
MAMP_01718 MAMP_01273
MAMP_01719 MAMP_03057
MAMP_01719 MAMP_02577
MAMP_01720 MAMP_01721
MAMP_01721 MAMP_01720
MAMP_01721 MAMP_00034
MAMP_01721 MAMP_01715
MAMP_01722 MAMP_02276
MAMP_01722 MAMP_02586
MAMP_01722 MAMP_02585
MAMP_01722 MAMP_01079
MAMP_01728 MAMP_00912
MAMP_01728 MAMP_00913
MAMP_01729 MAMP_00886
MAMP_01729 MAMP_00885
MAMP_01729 MAMP_00888
MAMP_01739 MAMP_00053
MAMP_01739 MAMP_00931
MAMP_01742 MAMP_00053
MAMP_01742 MAMP_00931
MAMP_01757 MAMP_02841
MAMP_01814 MAMP_00883
MAMP_01815 MAMP_02015
MAMP_01817 MAMP_02577
MAMP_01817 MAMP_01847
MAMP_01817 MAMP_00132
MAMP_01819 MAMP_01058
MAMP_01820 MAMP_02973
MAMP_01820 MAMP_01131
MAMP_01821 MAMP_01131
MAMP_01822 MAMP_03061
MAMP_01822 MAMP_01038
MAMP_01847 MAMP_02653
MAMP_01847 MAMP_01994
MAMP_01847 MAMP_00826
MAMP_01847 MAMP_01817
MAMP_01847 MAMP_00829
MAMP_01851 MAMP_02382
MAMP_01851 MAMP_01855
MAMP_01851 MAMP_00994
MAMP_01851 MAMP_01854
MAMP_01852 MAMP_02928
MAMP_01852 MAMP_01853
MAMP_01852 MAMP_01854
MAMP_01853 MAMP_01852
MAMP_01853 MAMP_02928
MAMP_01853 MAMP_01858
MAMP_01854 MAMP_01852
MAMP_01854 MAMP_01851
MAMP_01854 MAMP_01857
MAMP_01855 MAMP_01851
MAMP_01855 MAMP_01857
MAMP_01857 MAMP_01855
MAMP_01857 MAMP_01854
MAMP_01857 MAMP_00994
MAMP_01858 MAMP_01853
MAMP_01863 MAMP_00931
MAMP_01863 MAMP_01069
MAMP_01863 MAMP_01613
MAMP_01901 MAMP_00458
MAMP_01901 MAMP_03153
MAMP_01901 MAMP_02392
MAMP_01924 MAMP_01241
MAMP_01924 MAMP_02983
MAMP_01924 MAMP_00843
MAMP_01924 MAMP_02509
MAMP_01924 MAMP_00074
MAMP_01932 MAMP_00213
MAMP_01932 MAMP_00210
MAMP_01932 MAMP_00207
MAMP_01933 MAMP_00210
MAMP_01933 MAMP_00207
MAMP_01933 MAMP_00213
MAMP_01934 MAMP_00210
MAMP_01934 MAMP_00207
MAMP_01934 MAMP_00213
MAMP_01937 MAMP_00518
MAMP_01938 MAMP_01941
MAMP_01941 MAMP_01938
MAMP_01941 MAMP_02271
MAMP_01941 MAMP_00493
MAMP_01946 MAMP_01556
MAMP_01956 MAMP_02028
MAMP_01956 MAMP_02027
MAMP_01978 MAMP_03115
MAMP_01983 MAMP_01987
MAMP_01987 MAMP_01983
MAMP_01987 MAMP_03144
MAMP_01994 MAMP_02596
MAMP_01994 MAMP_00132
MAMP_01994 MAMP_01847
MAMP_02007 MAMP_03092
MAMP_02007 MAMP_02008
MAMP_02008 MAMP_03092
MAMP_02008 MAMP_02007
MAMP_02010 MAMP_02271
MAMP_02010 MAMP_00493
MAMP_02015 MAMP_01053
MAMP_02015 MAMP_01815
MAMP_02015 MAMP_00347
MAMP_02015 MAMP_02283
MAMP_02027 MAMP_01956
MAMP_02027 MAMP_03057
MAMP_02027 MAMP_01158
MAMP_02028 MAMP_01956
MAMP_02039 MAMP_02975
MAMP_02071 MAMP_00215
MAMP_02098 MAMP_01698
MAMP_02177 MAMP_02792
MAMP_02197 MAMP_01506
MAMP_02197 MAMP_02610
MAMP_02197 MAMP_02611
MAMP_02216 MAMP_02217
MAMP_02217 MAMP_02216
MAMP_02244 MAMP_00276
MAMP_02244 MAMP_00056
MAMP_02246 MAMP_00201
MAMP_02249 MAMP_01352
MAMP_02249 MAMP_02440
MAMP_02250 MAMP_01054
MAMP_02250 MAMP_00337
MAMP_02250 MAMP_02251
MAMP_02250 MAMP_00339
MAMP_02250 MAMP_02578
MAMP_02250 MAMP_02631
MAMP_02251 MAMP_02250
MAMP_02255 MAMP_01158
MAMP_02266 MAMP_02778
MAMP_02271 MAMP_01941
MAMP_02271 MAMP_00126
MAMP_02271 MAMP_00893
MAMP_02271 MAMP_02010
MAMP_02271 MAMP_00891
MAMP_02271 MAMP_03102
MAMP_02272 MAMP_00356
MAMP_02272 MAMP_00126
MAMP_02272 MAMP_03102
MAMP_02273 MAMP_00458
MAMP_02273 MAMP_02392
MAMP_02273 MAMP_03153
MAMP_02276 MAMP_01722
MAMP_02276 MAMP_00124
MAMP_02276 MAMP_02586
MAMP_02277 MAMP_00951
MAMP_02278 MAMP_01617
MAMP_02278 MAMP_02280
MAMP_02278 MAMP_01039
MAMP_02278 MAMP_02279
MAMP_02278 MAMP_00124
MAMP_02278 MAMP_00725
MAMP_02279 MAMP_01023
MAMP_02279 MAMP_02278
MAMP_02280 MAMP_01023
MAMP_02280 MAMP_02278
MAMP_02281 MAMP_01236
MAMP_02281 MAMP_00806
MAMP_02283 MAMP_02015
MAMP_02283 MAMP_00772
MAMP_02286 MAMP_01257
MAMP_02286 MAMP_02584
MAMP_02291 MAMP_03021
MAMP_02291 MAMP_01232
MAMP_02291 MAMP_02840
MAMP_02291 MAMP_01053
MAMP_02291 MAMP_00056
MAMP_02305 MAMP_02308
MAMP_02307 MAMP_02309
MAMP_02308 MAMP_02305
MAMP_02308 MAMP_00854
MAMP_02308 MAMP_01283
MAMP_02308 MAMP_01498
MAMP_02308 MAMP_00034
MAMP_02309 MAMP_02307
MAMP_02375 MAMP_00951
MAMP_02375 MAMP_03143
MAMP_02375 MAMP_03018
MAMP_02382 MAMP_01851
MAMP_02392 MAMP_02273
MAMP_02392 MAMP_01901
MAMP_02409 MAMP_02411
MAMP_02409 MAMP_02412
MAMP_02409 MAMP_02410
MAMP_02410 MAMP_02409
MAMP_02410 MAMP_02412
MAMP_02410 MAMP_02411
MAMP_02411 MAMP_02409
MAMP_02411 MAMP_02412
MAMP_02411 MAMP_02410
MAMP_02412 MAMP_02409
MAMP_02412 MAMP_02411
MAMP_02412 MAMP_02410
