GU3_00700 GU3_06535
GU3_00700 GU3_07090
GU3_00700 GU3_01040
GU3_00700 GU3_09740
GU3_00715 GU3_02365
GU3_00715 GU3_02375
GU3_00715 GU3_01905
GU3_00715 GU3_16035
GU3_00715 GU3_02360
GU3_00715 GU3_16030
GU3_00735 GU3_04770
GU3_00735 GU3_05760
GU3_00735 GU3_10130
GU3_00740 GU3_03305
GU3_00740 GU3_03765
GU3_00740 GU3_07445
GU3_00760 GU3_04660
GU3_00760 GU3_13100
GU3_00760 GU3_03080
GU3_00765 GU3_13510
GU3_00765 GU3_02380
GU3_00765 GU3_10640
GU3_00765 GU3_08040
GU3_00765 GU3_06810
GU3_00765 GU3_02615
GU3_00765 GU3_09770
GU3_00775 GU3_02410
GU3_00775 GU3_03855
GU3_00795 GU3_14370
GU3_00810 GU3_01690
GU3_00810 GU3_07440
GU3_00810 GU3_14475
GU3_00810 GU3_06225
GU3_00830 GU3_04665
GU3_00830 GU3_15140
GU3_00830 GU3_11030
GU3_00830 GU3_03085
GU3_00830 GU3_07340
GU3_00830 GU3_03710
GU3_00830 GU3_02415
GU3_00830 GU3_11705
GU3_00830 GU3_11895
GU3_00830 GU3_09785
GU3_00830 GU3_05765
GU3_00830 GU3_10965
GU3_00830 GU3_06575
GU3_00830 GU3_11010
GU3_00830 GU3_11075
GU3_00830 GU3_04660
GU3_00830 GU3_03705
GU3_00965 GU3_00980
GU3_00965 GU3_09295
GU3_00965 GU3_14250
GU3_00965 GU3_00970
GU3_00965 GU3_09305
GU3_00965 GU3_09280
GU3_00965 GU3_09290
GU3_00965 GU3_06935
GU3_00965 GU3_00335
GU3_00965 GU3_11950
GU3_00965 GU3_09755
GU3_00965 GU3_02115
GU3_00965 GU3_09300
GU3_00965 GU3_15230
GU3_00965 GU3_10990
GU3_00965 GU3_06655
GU3_00965 GU3_08025
GU3_00965 GU3_09285
GU3_00965 GU3_10385
GU3_00965 GU3_01070
GU3_00965 GU3_06795
GU3_00965 GU3_01345
GU3_00965 GU3_13025
GU3_00965 GU3_13520
GU3_00965 GU3_01075
GU3_00970 GU3_04935
GU3_00970 GU3_01510
GU3_00970 GU3_11455
GU3_00970 GU3_11955
GU3_00970 GU3_12280
GU3_00970 GU3_03590
GU3_00970 GU3_04940
GU3_00970 GU3_05435
GU3_00970 GU3_08030
GU3_00970 GU3_03790
GU3_00970 GU3_09485
GU3_00970 GU3_12290
GU3_00970 GU3_00965
GU3_00970 GU3_08375
GU3_00970 GU3_08050
GU3_00970 GU3_00975
GU3_00970 GU3_01035
GU3_00970 GU3_08025
GU3_00970 GU3_06795
GU3_00970 GU3_04595
GU3_00970 GU3_07365
GU3_00970 GU3_12295
GU3_00970 GU3_00990
GU3_00975 GU3_00970
GU3_00975 GU3_04940
GU3_00975 GU3_12290
GU3_00975 GU3_11950
GU3_00975 GU3_12295
GU3_00975 GU3_00990
GU3_00975 GU3_15220
GU3_00975 GU3_04935
